enlace,MAE,RMSE,MAPE
ADH_ADH,2583643.4529,4648543.1486,87.4748
ADH_CVK,100496.1435,156669.6371,95.8993
ADH_HTW,6060472.4442,7947899.8181,94.4106
ADH_HU,110023.9228,158104.2065,85.4704
ADH_SPK,224595.4693,366850.4521,94.9634
ADH_TU,180697.9446,265387.9303,95.3195
ADH_UP,16032.5363,25314.4909,90.7751
ADH_WIAS,106164.6606,298972.0704,95.1298
ADH_ZIB,417668.8533,544392.3229,92.5736
CVK_ADH,231907.4131,362292.2333,94.8498
CVK_CVK,1372633.1361,2215899.2124,429.0234
CVK_HTW,314111.6058,473672.9278,92.0456
CVK_HU,192344.532,300575.0885,90.1009
CVK_SPK,253927.9839,401998.0303,92.2613
CVK_TU,623142.0816,2137281.7941,95.5122
CVK_UP,11120.8447,22423.0997,90.0285
CVK_WIAS,100950.5891,197885.2169,95.0832
CVK_ZIB,684278.3802,1010538.7744,90.1368
HTW_ADH,3807838.3273,4998611.2689,90.3973
HTW_CVK,115711.0237,175477.1926,92.0451
HTW_HTW,2265496.5675,4158564.4049,92.8655
HTW_HU,179672.5548,319351.914,73.7337
HTW_SPK,297304.7099,516875.5892,87.8126
HTW_TU,168047.4833,253114.313,92.0917
HTW_UP,14967.6384,22853.7438,83.8276
HTW_WIAS,175889.7584,437357.4818,97.0792
HTW_ZIB,644003.3477,763603.4759,70.8085
HU_ADH,324035.0063,791793.06,81.7376
HU_CVK,138311.2858,277173.3284,73.7531
HU_HTW,512774.8281,1306518.1034,87.355
HU_HU,2447587.5563,3620883.8678,2304.0645
HU_SPK,4912345.6846,7128695.0202,90.7365
HU_TU,322203.9915,1258472.8165,80.0831
HU_UP,12405.8521,18576.4471,58.205
HU_WIAS,266121.3023,641243.083,88.3615
HU_ZIB,2408652.568,6147524.3382,92.1767
SPK_ADH,586597.9969,1039268.0388,93.2484
SPK_CVK,268515.4029,409102.1548,88.0338
SPK_HTW,797725.7509,1457682.9502,86.1351
SPK_HU,12040807.1908,15686831.9392,93.0178
SPK_SPK,5685006.3983,11677508.1569,93.0333
SPK_TU,559646.5926,858708.3134,88.901
SPK_UP,25690.4841,37398.4418,62.9008
SPK_WIAS,4492574.1296,9847987.5478,96.8715
SPK_ZIB,2124493.2651,3106032.6694,86.2765
TU_ADH,284017.0847,443789.2818,89.4202
TU_CVK,537994.702,2033490.4681,93.3808
TU_HTW,430419.8391,630637.4035,92.3351
TU_HU,300138.932,569821.6233,84.0741
TU_SPK,409564.5561,955100.4685,91.4989
TU_TU,1720072.0621,8054815.849,95.3445
TU_UP,11207.9301,26832.4545,93.6728
TU_WIAS,157898.8091,379070.5664,93.0811
TU_ZIB,924425.3715,1629085.4178,92.7267
UP_ADH,26018.9026,48376.676,89.048
UP_CVK,10162.9866,16424.8231,90.6559
UP_HTW,69113.3676,127957.4168,80.843
UP_HU,18169.4144,27581.243,77.4382
UP_SPK,19864.5877,33590.2804,81.8497
UP_TU,12067.9648,23463.0287,93.8302
UP_UP,624062.7801,1140961.6507,102.1415
UP_WIAS,10329.116,25540.415,94.0803
UP_ZIB,49250.9035,95222.5165,83.4336
WIAS_ADH,96034.1839,153100.5148,95.612
WIAS_CVK,33844.1597,68743.9411,96.1201
WIAS_HTW,152636.3277,208929.7059,90.8209
WIAS_HU,105476.3155,370758.9471,80.9224
WIAS_SPK,325238.8275,949672.2763,97.1617
WIAS_TU,54262.6979,130224.718,96.2734
WIAS_UP,3937.6776,6942.7535,89.1477
WIAS_WIAS,50412.7405,179607.6917,92.1053
WIAS_ZIB,286478.3099,473068.2345,90.1602
ZIB_ADH,5147255.8958,7245838.5737,95.8854
ZIB_CVK,724505.8104,1408468.4612,87.2885
ZIB_HTW,10513583.1106,12384647.8642,73.7895
ZIB_HU,679210.4321,1062405.0477,85.6346
ZIB_SPK,1913442.6878,4268200.4873,86.8484
ZIB_TU,2170471.3043,4807463.163,88.1562
ZIB_UP,60504.6789,142097.5404,70.0571
ZIB_WIAS,794844.5295,1358268.7744,92.9672
ZIB_ZIB,27104653.7987,39006086.9487,91.111
