enlace,MAE,RMSE,MAPE
HU_TU,322968.1716,1258558.3809,80.6041
HU_UP,12350.8045,18413.4604,58.3249
HU_WIAS,270700.6942,646784.5975,90.5705
HU_ZIB,2424454.473,6163205.4961,93.897
SPK_ADH,583923.8215,1036307.3748,92.5026
SPK_CVK,271976.651,411717.4433,90.1176
SPK_HTW,823257.7901,1475638.1615,90.9186
SPK_HU,12033568.4198,15705790.9088,93.4678
SPK_SPK,5739249.4438,11746627.4251,94.5949
SPK_TU,564815.2542,864959.5215,89.3334
SPK_UP,27424.2624,38954.8432,68.2436
SPK_WIAS,4494334.6178,9849338.948,96.8124
SPK_ZIB,2150635.2737,3133475.6436,87.0887
TU_ADH,283409.8108,442645.6739,96.09
TU_CVK,539795.3835,2033789.917,95.6452
TU_HTW,430772.167,629380.9635,92.9531
TU_HU,302491.9103,568580.4814,87.8369
TU_SPK,411225.2464,957082.9576,91.8574
TU_TU,1720433.0887,8055045.6915,98.5467
TU_UP,11248.9343,26862.1017,93.4523
TU_WIAS,158595.3233,380696.6312,92.9122
TU_ZIB,920917.6707,1621489.5677,94.3358
UP_ADH,26136.2108,48408.8726,96.6355
UP_CVK,10256.0883,16565.147,90.5353
UP_HTW,70473.0731,129410.7948,84.3233
UP_HU,18618.1463,27851.4202,80.6678
UP_SPK,20119.0749,33954.8343,82.676
UP_TU,12015.724,23380.2672,94.2945
UP_UP,625020.6865,1142067.3084,102.1343
UP_WIAS,10312.8062,25630.1303,92.8128
UP_ZIB,49478.8064,95333.5554,84.4213
WIAS_ADH,96384.1927,153581.6042,97.8285
WIAS_CVK,33488.4906,68317.7366,95.3596
WIAS_HTW,153482.3183,209497.0467,92.0544
WIAS_HU,107791.843,371783.5938,84.0385
WIAS_SPK,326363.6108,950926.8482,98.7111
WIAS_TU,54306.7796,130142.1453,97.9803
WIAS_UP,4087.5403,7136.2862,94.0643
WIAS_WIAS,50434.7725,179651.7205,93.6002
WIAS_ZIB,289839.7526,477553.0873,89.4774
ZIB_ADH,5156405.8401,7255768.8449,95.435
ZIB_CVK,757451.5735,1441409.7732,92.8993
ZIB_HTW,11041555.9738,12901819.9648,77.9264
ZIB_HU,672557.2939,1054475.1711,85.0807
ZIB_SPK,1952700.1836,4294441.7959,90.6265
ZIB_TU,2209878.1015,4841602.9506,92.8029
ZIB_UP,62456.4532,143204.3208,73.2463
ZIB_WIAS,805998.5253,1371991.1837,93.9155
ZIB_ZIB,27198620.6254,39254066.1885,88.178
