enlace,MAE,RMSE,MAPE
ADH_ADH,22154573.0285,282409112.7883,1508.505
ADH_CVK,43312.8613,119379.9555,74.8146
ADH_HTW,569885.867,3267728.2898,83.7789
ADH_HU,36957.6575,91902.5518,33.2709
ADH_SPK,80431.9381,179183.1188,51.5893
ADH_TU,61117.5437,183540.9231,76.9006
ADH_UP,5001.6962,18522.1489,65.8664
ADH_WIAS,36216.1751,213054.5317,101.6044
ADH_ZIB,596124.1698,7672261.9617,60.3661
CVK_ADH,26984.9163,111223.7466,68.15
CVK_CVK,830895.4122,2209335.4555,53.221
CVK_HTW,41000.767,210997.8356,36.1901
CVK_HU,29655.9608,83546.1493,23.237
CVK_SPK,51490.6864,131219.8316,33.6738
CVK_TU,63765.6914,240019.9769,44.5098
CVK_UP,3201.729,5952.669,29.8776
CVK_WIAS,18281.3206,39447.8797,48.0406
CVK_ZIB,70514.6156,146464.4642,15.4577
HTW_ADH,1200684.3488,12461087.658,112.4817
HTW_CVK,49777.7341,109262.088,27.5302
HTW_HTW,784326.6377,2358134.0408,59.8996
HTW_HU,78213.5107,145346.7091,29.1834
HTW_SPK,107312.9841,190573.1429,32.1339
HTW_TU,105428.4695,371284.8754,33.2252
HTW_UP,2986.8652,4938.766,17.0625
HTW_WIAS,50665.9203,133944.4003,38.3165
HTW_ZIB,224034.6262,437707.3635,8.2568
HU_ADH,67009.3388,183317.3712,36.6375
HU_CVK,118714.8121,261344.1576,27.1318
HU_HTW,210021.3724,714585.4678,33.3841
HU_HU,1043463.0555,1462159.6834,13.0774
HU_SPK,1709697.951,3255244.593,30.3886
HU_TU,353388.3509,987459.4718,33.8083
HU_UP,9311.8808,14536.9734,25.0601
HU_WIAS,110991.7432,219450.7498,39.5926
HU_ZIB,10872209.2983,65862874.4442,84.527
SPK_ADH,315051.4496,4008593.3239,68.9377
SPK_CVK,128115.9735,220947.6588,32.8915
SPK_HTW,218430.8877,585518.0981,34.6206
SPK_HU,1787230.9893,4882314.8697,24.4072
SPK_SPK,1994759.9075,4109201.1995,42.8046
SPK_TU,247160.3496,559927.2342,41.8385
SPK_UP,7851.2568,12280.5643,21.4614
SPK_WIAS,23096072.2875,263608592.0147,316.311
SPK_ZIB,663420.0855,1091537.5639,22.4096
TU_ADH,105208.3674,636170.5805,151.0673
TU_CVK,221871.9044,552970.5135,52.1741
TU_HTW,184648.3925,845551.9278,83.8531
TU_HU,152648.9011,320834.3442,38.9393
TU_SPK,233368.6364,502506.2311,55.3756
TU_TU,2749867.7607,12744802.8957,86.2382
TU_UP,9988.1889,41427.6701,70.4616
TU_WIAS,84240.9494,256193.1426,86.7586
TU_ZIB,5583102.1028,41509062.8846,106.8418
UP_ADH,7029.4502,25977.9067,68.0374
UP_CVK,12370.7166,79502.3066,41.9864
UP_HTW,22326.8823,185237.1239,40.6934
UP_HU,19543.0055,94715.9243,48.1245
UP_SPK,14957.7728,51600.0392,27.5491
UP_TU,11899.0096,49985.6176,40.4438
UP_UP,2254516.7808,20950407.6426,1139.1865
UP_WIAS,38369.8857,253568.9782,76.8038
UP_ZIB,266834.7564,2393679.4046,48.301
WIAS_ADH,36308.3343,190748.9506,103.2241
WIAS_CVK,21836.4219,44697.0825,35.9543
WIAS_HTW,31849.2181,65979.539,42.1234
WIAS_HU,50852.9628,193120.7422,30.1256
WIAS_SPK,766485.8808,2444602.0502,43.7959
WIAS_TU,49746.6673,148839.9785,49.1337
WIAS_UP,2554.083,5362.6492,31.4816
WIAS_WIAS,16312.7756,37883.002,55.9769
WIAS_ZIB,98451.6917,203071.7199,22.5993
ZIB_ADH,3179626.6615,34581292.9201,183.1813
ZIB_CVK,274827.8345,691305.7924,31.8124
ZIB_HTW,1193876.2117,3060332.3149,36.8624
ZIB_HU,350517.824,877514.1803,39.2595
ZIB_SPK,591151.6596,1257863.2123,38.0018
ZIB_TU,969508.7523,3503548.1523,44.6508
ZIB_UP,11326.5232,19917.0223,24.1697
ZIB_WIAS,197958.9898,397262.8484,48.8836
ZIB_ZIB,5870100.7725,12739292.2538,37.7113
