enlace,MAE,RMSE,MAPE
ADH_ADH,2563973.3027,4632570.8163,125.1613
ADH_CVK,63873.1821,106217.9708,63.091
ADH_HTW,4885328.2121,6531718.1659,88.5473
ADH_HU,51066.3957,82825.3129,58.9376
ADH_SPK,111827.1244,223188.444,76.6914
ADH_TU,154377.4962,230468.3737,80.5242
ADH_UP,11776.7458,20900.1941,64.7106
ADH_WIAS,73841.0435,273577.0408,120.7366
ADH_ZIB,230241.5083,335287.5432,64.7734
CVK_ADH,189060.3724,310392.7556,71.8486
CVK_CVK,722673.7554,1637317.8786,4169.9578
CVK_HTW,210832.8452,355265.2584,66.8232
CVK_HU,102477.1311,205491.6537,49.0728
CVK_SPK,110979.7525,203518.7343,47.5309
CVK_TU,531110.6445,1937156.0209,60.4045
CVK_UP,6079.0368,17715.3802,44.1048
CVK_WIAS,66646.1297,145911.4821,93.1284
CVK_ZIB,450788.882,737967.6546,77.6558
HTW_ADH,3324978.819,4380729.0616,106.2129
HTW_CVK,69440.5937,115755.0643,50.0463
HTW_HTW,1019334.7852,2226027.4055,57.8692
HTW_HU,147722.3581,263794.9663,138.5001
HTW_SPK,137178.2407,344313.7564,56.2734
HTW_TU,80958.3524,136700.9582,47.7987
HTW_UP,7956.4169,15241.0978,41.2855
HTW_WIAS,101430.5694,348714.2086,88.9125
HTW_ZIB,299780.584,418144.5197,43.4237
HU_ADH,229984.1176,721185.2591,94.9808
HU_CVK,81941.2362,213727.2428,115.4958
HU_HTW,418716.9394,1191659.372,236.4167
HU_HU,3302806.7547,3887145.9915,6218.0199
HU_SPK,2840178.3809,4714882.6255,195.1788
HU_TU,205153.4449,1186798.7675,131.2516
HU_UP,10837.6996,13848.7121,120.1766
HU_WIAS,167556.7321,485498.2321,166.0401
HU_ZIB,1569496.9508,3835381.2228,172.8901
SPK_ADH,370817.3058,829510.2355,59.5881
SPK_CVK,105881.626,184970.6645,44.7399
SPK_HTW,456212.839,1150789.3469,67.5862
SPK_HU,4644161.0109,6472575.8039,100.1586
SPK_SPK,2330015.1808,6338598.1134,67.7032
SPK_TU,201683.7727,462878.1596,53.5843
SPK_UP,13965.6809,25128.1692,50.1539
SPK_WIAS,3196984.536,7384270.2529,307.9591
SPK_ZIB,1200287.8305,2055317.6112,87.7252
TU_ADH,256615.9173,405530.0512,95.3294
TU_CVK,484546.7208,1923501.9766,58.6487
TU_HTW,206178.2739,350622.4783,43.9749
TU_HU,164180.8758,377474.9646,59.299
TU_SPK,191021.6803,710553.8145,66.3236
TU_TU,1661629.5466,7969231.2192,94.598
TU_UP,6025.9905,21939.0718,44.3665
TU_WIAS,92101.8219,264377.2765,110.8831
TU_ZIB,460384.9626,1079610.9843,50.1309
UP_ADH,18832.8783,40650.1271,68.8328
UP_CVK,5447.5855,11008.0136,54.8735
UP_HTW,52641.0947,107111.4549,74.4296
UP_HU,11096.0608,20334.6806,65.7871
UP_SPK,11298.1072,24687.7888,55.1524
UP_TU,7138.1609,18487.6008,56.011
UP_UP,423729.5335,868157.8337,1433.5135
UP_WIAS,6602.3992,17943.0174,119.646
UP_ZIB,31283.1507,85079.9685,52.7714
WIAS_ADH,79432.781,130456.2213,74.6836
WIAS_CVK,22224.7227,53658.2271,65.8032
WIAS_HTW,78530.0041,136333.8063,46.3933
WIAS_HU,71632.6449,343854.7323,86.9081
WIAS_SPK,190102.8521,656983.9931,73.981
WIAS_TU,34136.5398,103206.193,52.9999
WIAS_UP,2313.9316,4931.3261,44.2315
WIAS_WIAS,32930.6201,154600.3832,94.9307
WIAS_ZIB,120229.6788,255738.7525,60.089
ZIB_ADH,4711955.0986,6785584.4783,76.9295
ZIB_CVK,391340.8036,1025194.9892,45.1229
ZIB_HTW,5456030.449,6864182.4873,70.177
ZIB_HU,349473.7884,660479.8196,74.9189
ZIB_SPK,929788.2382,2937902.9491,39.0112
ZIB_TU,1384009.3499,4012889.2294,47.1295
ZIB_UP,36065.1599,126438.7464,36.1186
ZIB_WIAS,377002.4818,774344.9463,44.8056
ZIB_ZIB,12498786.2374,20915873.1755,75.1285
