enlace,MAE,RMSE,MAPE
ADH_ADH,2182249.9325,4472542.2958,58609.0054
ADH_CVK,54329.6963,95088.582,155.251
ADH_HTW,1925036.8237,3318900.9453,213.2305
ADH_HU,57327.7541,97815.3457,79.5061
ADH_SPK,87354.8063,215385.8952,92.8806
ADH_TU,82614.1073,147594.9679,181.164
ADH_UP,8286.7059,16778.8268,107.9696
ADH_WIAS,74725.2043,344109.9928,299.4218
ADH_ZIB,158052.2107,284562.5673,88.0098
CVK_ADH,143969.0654,287999.0904,141.6997
CVK_CVK,855924.4391,1849362.9216,8562.3716
CVK_HTW,146137.4969,262981.8611,68.1217
CVK_HU,109523.7826,221945.2752,71.7666
CVK_SPK,88419.9485,167955.1509,63.6962
CVK_TU,350359.4039,1235753.6092,132.927
CVK_UP,7573.7133,20614.2739,89.1413
CVK_WIAS,41858.6033,85478.5547,240.0445
CVK_ZIB,250728.6322,530395.5517,71.3472
HTW_ADH,1572827.706,2418336.8413,357.253
HTW_CVK,48490.8319,78141.0879,87.2931
HTW_HTW,1114550.1808,2276494.1234,115.772
HTW_HU,134200.3754,276894.5572,140.1555
HTW_SPK,147024.64,340897.6378,72.0085
HTW_TU,66386.6309,115026.4217,63.4679
HTW_UP,8162.4031,14720.6909,58.4418
HTW_WIAS,133204.9713,515877.8364,300.2365
HTW_ZIB,340566.005,469161.5487,58.8962
HU_ADH,312032.7446,898008.8547,143.1323
HU_CVK,101963.6476,303128.0509,92.7892
HU_HTW,526039.0072,1557248.6222,260.5592
HU_HU,1089656.7915,3095482.6075,182.2873
HU_SPK,2805619.4011,5182608.35,204.6022
HU_TU,244686.3508,1437372.4615,109.3335
HU_UP,9174.2794,14429.8285,70.7314
HU_WIAS,211811.0577,551068.5534,210.6917
HU_ZIB,2081593.1448,6027433.5761,184.2987
SPK_ADH,370825.309,767484.7531,98.3123
SPK_CVK,126326.5359,215197.9682,66.8743
SPK_HTW,669874.4483,1566812.1385,137.6918
SPK_HU,3612328.654,5530427.5928,71.1568
SPK_SPK,2075551.6774,5743274.9996,96.7013
SPK_TU,290798.7018,640593.1989,63.3571
SPK_UP,15009.0172,27664.5578,46.5692
SPK_WIAS,2376097.2869,5053941.7467,3327.987
SPK_ZIB,1389814.3368,2445657.9241,82.826
TU_ADH,176284.1009,329271.2286,241.3912
TU_CVK,285690.0953,1210767.6639,142.201
TU_HTW,218034.5486,370305.7889,80.39
TU_HU,180536.6254,448752.4157,66.1331
TU_SPK,242598.8563,911022.3824,94.0071
TU_TU,1671128.5965,7007909.5084,620.5397
TU_UP,7273.5079,21248.0331,76.8132
TU_WIAS,74220.3684,204622.8955,416.7934
TU_ZIB,350557.7481,1079460.4338,92.7243
UP_ADH,15193.3025,33864.8438,117.1741
UP_CVK,7452.0261,14282.6282,104.0669
UP_HTW,44401.7529,90144.0824,125.2453
UP_HU,12948.4355,24009.9678,80.215
UP_SPK,14276.5251,29264.053,81.9674
UP_TU,8513.1018,21597.0332,101.0901
UP_UP,377384.775,960543.8902,18844.6044
UP_WIAS,10935.6082,36414.6055,380.0194
UP_ZIB,33590.4873,81933.8044,81.3192
WIAS_ADH,68925.3096,131973.1167,248.7136
WIAS_CVK,18644.8486,40349.47,119.6369
WIAS_HTW,80365.2405,142793.2383,68.5414
WIAS_HU,78942.5782,442257.4401,89.3844
WIAS_SPK,202840.335,694621.8843,134.6686
WIAS_TU,39874.4832,119262.4061,125.7518
WIAS_UP,2287.2101,4607.2155,70.369
WIAS_WIAS,36733.4873,160212.5645,420.7875
WIAS_ZIB,122951.7197,261470.9147,81.1665
ZIB_ADH,2133517.478,3799956.7161,170.4078
ZIB_CVK,365952.2448,997200.5801,69.4078
ZIB_HTW,7027843.3651,8805936.9755,93.7276
ZIB_HU,368745.8317,785036.2964,70.9131
ZIB_SPK,873573.2876,2186679.7783,64.095
ZIB_TU,1154246.8555,3275313.7996,54.8127
ZIB_UP,34842.2177,117102.6644,45.1909
ZIB_WIAS,433273.383,852416.7753,155.7866
ZIB_ZIB,8749757.0114,14880796.148,63.4485
