enlace,MAE,RMSE,MAPE
ADH_ADH,470979.397,2069700.2129,610.575
ADH_CVK,32956.6378,89209.1401,66.644
ADH_HTW,372800.5772,1212480.7078,140.1829
ADH_HU,51042.9556,112319.7471,58.2681
ADH_SPK,91049.7245,186211.2578,67.736
ADH_TU,52009.595,124011.3648,92.4587
ADH_UP,3412.5604,7178.9914,66.1012
ADH_WIAS,28028.7352,60475.3242,125.5009
ADH_ZIB,218213.6275,671415.8755,59.8227
CVK_ADH,20320.4711,53270.5439,65.3569
CVK_CVK,987049.803,2265275.2471,133.9822
CVK_HTW,51832.4038,310522.4976,48.326
CVK_HU,68745.8418,625550.246,44.6448
CVK_SPK,63501.7088,235949.1656,45.8336
CVK_TU,83113.797,359256.1943,67.7814
CVK_UP,3821.5952,6148.117,42.8178
CVK_WIAS,23188.9223,50392.7077,62.7385
CVK_ZIB,139622.0156,363525.4528,37.924
HTW_ADH,337195.8465,926001.0823,157.0886
HTW_CVK,71447.2132,144337.221,46.1494
HTW_HTW,626563.5437,1435384.2162,109.6501
HTW_HU,114582.9888,194798.2947,47.3138
HTW_SPK,159631.666,304559.9196,43.9649
HTW_TU,141385.2768,420635.0956,59.6788
HTW_UP,5555.6687,8674.3124,36.1924
HTW_WIAS,75015.6107,145904.711,73.2411
HTW_ZIB,815008.9193,1592152.765,38.6901
HU_ADH,72017.8119,178622.3609,48.9647
HU_CVK,205048.7696,564700.6003,48.8876
HU_HTW,361160.3586,1313947.3424,59.1455
HU_HU,1749469.6748,2784649.4822,52.2602
HU_SPK,2105616.6014,3326991.3327,62.2275
HU_TU,553315.4966,1415333.725,60.6175
HU_UP,14000.5582,19533.1387,46.7955
HU_WIAS,173094.3259,346127.2764,91.2916
HU_ZIB,4188368.1606,7514446.8891,133.8072
SPK_ADH,98106.1728,225196.1235,55.6084
SPK_CVK,140476.227,242401.0873,42.6964
SPK_HTW,304319.0472,870229.376,55.9718
SPK_HU,2924193.5503,7006971.8538,53.3764
SPK_SPK,2283283.8543,5184360.5712,67.9368
SPK_TU,259464.1519,454986.5302,53.3497
SPK_UP,12487.4286,19550.7511,38.5245
SPK_WIAS,2010304.8858,4592725.9609,182.0295
SPK_ZIB,1345441.8214,2158911.33,63.1625
TU_ADH,47962.134,133717.0856,108.7961
TU_CVK,323079.6373,786791.7651,85.6356
TU_HTW,150394.0551,513852.7158,77.5404
TU_HU,172837.243,380485.3609,52.27
TU_SPK,200053.0145,376272.5864,55.078
TU_TU,1776114.2704,5533441.9219,258.6197
TU_UP,6944.7265,11150.9746,67.9775
TU_WIAS,76575.3837,201994.9993,104.9613
TU_ZIB,1204688.5229,2342714.7079,107.4485
UP_ADH,5323.6785,14036.0335,74.2389
UP_CVK,9638.2228,36322.4531,53.884
UP_HTW,25381.5648,198513.4972,63.9801
UP_HU,14400.0905,36289.9511,57.9897
UP_SPK,23248.8876,70802.9091,60.3516
UP_TU,14979.0308,61373.0177,59.6639
UP_UP,279014.4198,688737.7735,1259.9624
UP_WIAS,13555.0958,48375.5196,79.5628
UP_ZIB,112065.5135,488159.125,59.3594
WIAS_ADH,20567.417,54055.1415,97.3336
WIAS_CVK,30695.4733,58377.2706,64.0232
WIAS_HTW,44269.6988,93985.0678,70.7431
WIAS_HU,79791.3157,249890.3827,54.7264
WIAS_SPK,1464943.8205,4095530.1242,355.6789
WIAS_TU,61926.7802,152951.4953,86.8271
WIAS_UP,3873.7347,7980.2793,55.4039
WIAS_WIAS,26247.293,63068.0842,119.933
WIAS_ZIB,210524.0367,412366.9238,55.8292
ZIB_ADH,290266.3878,1146243.0007,68.6794
ZIB_CVK,337951.8144,760214.5398,50.3172
ZIB_HTW,1564949.6626,3117584.8408,100.7909
ZIB_HU,339328.9365,629820.5286,43.3689
ZIB_SPK,578245.712,1567225.4554,37.8918
ZIB_TU,1053130.4554,2560786.6347,73.8342
ZIB_UP,14509.4712,23231.8103,34.0395
ZIB_WIAS,236383.7995,507261.4831,67.3668
ZIB_ZIB,6879064.6202,14287873.9511,46.2321
