enlace,MAE,RMSE,MAPE
ADH_ADH,2788078.3657,5882389.0097,65824.0824
ADH_CVK,46616.8888,81016.9596,121.8138
ADH_HTW,2220672.0568,3531005.2265,213.0226
ADH_HU,56701.517,97238.8302,74.575
ADH_SPK,98876.1307,246380.3972,104.8031
ADH_TU,87973.4611,157264.2489,189.9384
ADH_UP,8073.2496,16412.5104,99.3328
ADH_WIAS,71865.2098,314940.4327,324.217
ADH_ZIB,159004.8176,284934.0677,85.4245
CVK_ADH,127814.8538,261761.3583,107.8847
CVK_CVK,856488.6983,1835104.3308,9341.7928
CVK_HTW,149294.5647,268233.6577,73.8903
CVK_HU,116187.1194,237837.3105,75.5608
CVK_SPK,88564.6798,168805.9783,66.2584
CVK_TU,277900.9177,1053458.3499,118.557
CVK_UP,7153.0519,19572.3331,81.3828
CVK_WIAS,41527.6119,87234.4925,203.6972
CVK_ZIB,268711.0893,561654.351,73.2679
HTW_ADH,1331297.1452,2075038.6998,377.6877
HTW_CVK,54360.039,88653.8736,90.9111
HTW_HTW,1149553.5144,2331908.9571,127.888
HTW_HU,130176.0291,269435.2107,120.5837
HTW_SPK,148496.9748,345138.7101,74.2858
HTW_TU,72353.9028,126090.7789,67.5554
HTW_UP,7790.5609,14080.1939,55.3426
HTW_WIAS,116539.0545,350464.8621,341.0701
HTW_ZIB,320189.4613,447162.1957,54.9579
HU_ADH,296539.3115,833218.6882,125.5669
HU_CVK,95923.2562,287559.0261,86.7457
HU_HTW,510225.6576,1481252.3957,240.7283
HU_HU,1094295.7931,3079710.2834,180.138
HU_SPK,2728256.446,5064332.2648,193.4334
HU_TU,242478.4972,1442683.5739,97.6229
HU_UP,7948.2671,12876.2554,55.5984
HU_WIAS,197236.7262,511755.1139,201.6349
HU_ZIB,1757067.4119,4541339.7156,169.2041
SPK_ADH,372488.4939,789399.8864,89.2219
SPK_CVK,131936.5614,225498.8486,69.7286
SPK_HTW,657874.3766,1569871.3616,136.2762
SPK_HU,3361838.4995,5301538.1734,69.94
SPK_SPK,2044934.6293,5439736.6936,95.9479
SPK_TU,282943.1052,624705.2635,65.3961
SPK_UP,15501.8511,28730.8527,49.4993
SPK_WIAS,2148522.454,4521603.605,2542.3314
SPK_ZIB,1321428.4959,2373974.599,76.6137
TU_ADH,136879.2688,270799.2761,203.5216
TU_CVK,268030.0583,1146918.1257,139.442
TU_HTW,203849.1653,347929.9939,70.86
TU_HU,173771.9071,423148.6491,65.2075
TU_SPK,206094.2788,718094.5884,86.8004
TU_TU,2012969.4821,9165568.657,1381.1851
TU_UP,7307.1725,21350.2855,79.7679
TU_WIAS,71979.4893,200675.0141,348.9674
TU_ZIB,370505.4063,1100920.9488,90.1935
UP_ADH,16777.8132,37910.726,139.2198
UP_CVK,7013.8167,13450.3698,99.8998
UP_HTW,42591.3381,86656.8745,115.9195
UP_HU,12372.7346,22260.9611,76.8994
UP_SPK,14563.7091,30242.2073,83.6534
UP_TU,8150.803,20030.9317,98.3405
UP_UP,363478.0859,868993.3888,15319.0313
UP_WIAS,9025.8889,27063.5051,338.927
UP_ZIB,32658.2255,82053.2079,76.1619
WIAS_ADH,59797.5954,118440.6073,199.645
WIAS_CVK,20214.7286,44462.6043,118.0615
WIAS_HTW,80279.3967,142145.2525,68.4557
WIAS_HU,78278.8577,426252.9857,86.596
WIAS_SPK,220241.1555,730106.0844,137.4126
WIAS_TU,41135.3247,124857.087,120.8962
WIAS_UP,2437.44,4777.9597,83.0099
WIAS_WIAS,36112.65,159054.809,491.5965
WIAS_ZIB,122646.6807,260693.3251,77.7372
ZIB_ADH,2046235.4524,3735300.2781,185.4497
ZIB_CVK,371483.5867,1044675.2183,73.2955
ZIB_HTW,6949027.6036,8767236.5803,85.1549
ZIB_HU,382562.3898,834099.6065,82.6205
ZIB_SPK,926391.753,2246688.9976,70.0645
ZIB_TU,1119675.5423,3260472.9534,51.0187
ZIB_UP,34353.6265,113457.5521,42.5019
ZIB_WIAS,439086.6594,864847.1204,148.6877
ZIB_ZIB,7777070.8455,14717814.4539,59.3467
