enlace,MAE,RMSE,MAPE
ADH_ADH,1788941.9344,3871792.0294,31195.2377
ADH_CVK,38954.9552,68041.8363,84.658
ADH_HTW,1709017.0485,3023540.4553,188.0023
ADH_HU,56209.3966,97226.0951,71.1732
ADH_SPK,86300.5732,228637.4868,92.1369
ADH_TU,70577.8333,128360.3826,128.5364
ADH_UP,7266.6277,16860.7869,88.587
ADH_WIAS,65281.8701,331898.1387,206.2082
ADH_ZIB,142434.4855,258189.4917,77.8711
CVK_ADH,99021.7773,211295.815,90.3326
CVK_CVK,833506.707,1981231.6935,6880.4168
CVK_HTW,149484.7926,272320.8297,82.2384
CVK_HU,103750.3918,204944.9041,67.4414
CVK_SPK,87760.6325,167714.3041,63.2304
CVK_TU,235138.7906,938564.0788,107.1947
CVK_UP,6248.7248,17240.7686,71.0942
CVK_WIAS,40104.4908,85105.493,175.2194
CVK_ZIB,233876.1498,484806.387,69.282
HTW_ADH,375905.2749,843364.2405,262.9451
HTW_CVK,45378.6323,73724.336,71.7499
HTW_HTW,1180661.5249,2371944.5424,155.9627
HTW_HU,136924.1828,286496.899,138.3044
HTW_SPK,153363.4974,376061.9221,79.3725
HTW_TU,63852.0134,114868.6159,56.0051
HTW_UP,7533.6998,14221.7903,49.9059
HTW_WIAS,108354.8388,353662.6327,206.0663
HTW_ZIB,318630.2076,446952.7708,54.6182
HU_ADH,290100.3685,795976.2527,122.1852
HU_CVK,94237.0795,285255.3007,83.4484
HU_HTW,530491.1262,1538323.7305,264.9891
HU_HU,1096290.2499,3120713.8011,185.2707
HU_SPK,2692345.4576,5110881.3917,157.8278
HU_TU,252370.2888,1633379.3895,99.3936
HU_UP,8363.7823,13663.4331,59.0148
HU_WIAS,206366.4045,554074.5442,194.0289
HU_ZIB,1694589.0448,4279695.6364,150.0352
SPK_ADH,361686.6743,786826.8917,80.5864
SPK_CVK,112661.4883,197193.2419,54.7226
SPK_HTW,671670.5884,1616684.8872,138.9093
SPK_HU,2957108.447,5097068.6103,70.5449
SPK_SPK,1786506.4058,5335957.2781,84.2309
SPK_TU,253261.1119,583227.1755,55.5232
SPK_UP,15136.2013,27733.5863,47.6358
SPK_WIAS,2058930.7568,4359601.7611,1414.6897
SPK_ZIB,1302022.4284,2389924.0786,74.6552
TU_ADH,94694.5138,198741.8039,139.3073
TU_CVK,176944.8204,897755.9193,101.7973
TU_HTW,188219.8753,323122.0415,60.4069
TU_HU,185318.2448,468456.6919,62.675
TU_SPK,217891.2908,853379.4215,72.6065
TU_TU,1725554.314,7776815.048,1188.7586
TU_UP,6720.4324,23044.8532,65.5157
TU_WIAS,69411.0227,191977.6814,215.0557
TU_ZIB,347132.3699,1148780.2526,63.7673
UP_ADH,14727.7384,35234.4183,116.3954
UP_CVK,6313.3484,12933.6404,77.1438
UP_HTW,41459.1101,85010.8325,106.0117
UP_HU,12575.4489,23321.6691,76.2751
UP_SPK,13277.2708,28650.978,65.8694
UP_TU,7910.2298,20951.8605,86.5309
UP_UP,357677.2967,841243.0851,9129.1273
UP_WIAS,7968.362,21630.618,246.1468
UP_ZIB,33554.8081,92106.5726,77.4545
WIAS_ADH,45207.9949,99460.9656,140.8573
WIAS_CVK,17251.0131,39546.3977,86.8256
WIAS_HTW,81922.3477,143681.0763,68.5667
WIAS_HU,85132.807,494313.4848,93.2093
WIAS_SPK,205583.9469,732662.5648,142.3165
WIAS_TU,31899.5128,98403.3417,84.792
WIAS_UP,2315.6708,4794.8284,67.2578
WIAS_WIAS,34512.2274,161456.2982,247.191
WIAS_ZIB,120790.9809,275639.2985,62.1931
ZIB_ADH,1881970.5404,3396664.6781,150.5324
ZIB_CVK,360021.0737,1028307.0621,68.41
ZIB_HTW,6560666.0335,8235153.2156,94.3418
ZIB_HU,395388.7954,869403.2703,79.5035
ZIB_SPK,823663.882,2165230.8948,60.0309
ZIB_TU,1165320.7209,3772276.0855,59.3824
ZIB_UP,35701.3983,122902.7983,46.8493
ZIB_WIAS,421635.687,829043.3475,133.453
ZIB_ZIB,7602586.655,14373572.5509,57.3066
