enlace,MAE,RMSE,MAPE
ADH_ZIB,369742.6987,3272204.3471,51.9219
CVK_ADH,27640.3137,115193.7645,60.5218
CVK_CVK,889420.9963,2110280.2768,46.4786
CVK_HTW,41803.5292,223437.3342,33.2235
CVK_HU,29480.4823,53321.521,24.6758
CVK_SPK,48533.9898,85440.4228,31.2349
CVK_TU,71302.8877,277572.1189,41.9753
CVK_UP,3223.0265,6206.692,28.6718
CVK_WIAS,20207.0317,41645.7178,53.1075
CVK_ZIB,73491.105,144161.452,14.2377
HTW_ADH,1039086.6025,9544537.3599,112.4308
HTW_CVK,53628.1297,115615.7967,29.4762
HTW_HTW,721005.4171,2067955.5497,48.8173
HTW_HU,79396.9629,145076.9161,28.6655
HTW_SPK,101758.4873,190420.427,29.0992
HTW_TU,105961.084,341166.3796,35.4009
HTW_UP,3119.8926,5152.3909,19.4798
HTW_WIAS,44606.2963,90492.8283,33.4681
HTW_ZIB,153481.065,282435.543,6.4327
HU_ADH,64587.4115,163358.2918,35.1997
HU_CVK,121924.9716,234898.6671,29.414
HU_HTW,227408.5413,791686.8092,34.5842
HU_HU,837198.0656,1147111.6572,10.2217
HU_SPK,865595.7899,1342907.6872,15.3296
HU_TU,364932.0518,943474.4248,33.8123
HU_UP,9179.1041,14644.1449,24.7029
HU_WIAS,124739.6881,263939.4715,43.7314
HU_ZIB,11004252.1214,70120355.0579,89.5766
SPK_ADH,266516.2668,2535596.0079,67.8063
SPK_CVK,133555.1097,225317.4932,34.982
SPK_HTW,242440.5099,676372.4541,35.2142
SPK_HU,2051016.7866,5359344.9266,26.1835
SPK_SPK,1843588.8681,3561232.9036,42.3068
SPK_TU,222250.6762,495263.3893,38.4205
SPK_UP,7771.2495,11570.8193,22.4464
SPK_WIAS,15025436.7519,234813288.3188,207.8273
SPK_ZIB,660826.9157,1130876.8302,21.3714
TU_ADH,91066.4251,418090.6919,133.0247
TU_CVK,271527.6697,672536.3446,60.8677
TU_HTW,254703.2822,1317970.4029,87.32
TU_HU,148899.4109,300762.9889,39.5086
TU_SPK,203766.4108,426329.4861,49.1874
TU_TU,2335289.7446,10850771.856,99.2767
TU_UP,8559.875,24897.526,58.6135
TU_WIAS,86244.5059,247226.5368,93.0026
TU_ZIB,9155477.191,74038236.3127,161.3662
UP_ADH,8080.1231,30137.9059,73.3843
UP_CVK,11551.3588,64205.5127,43.3096
UP_HTW,21962.245,197830.1945,37.9491
UP_HU,12318.7217,33604.5891,36.3324
UP_SPK,17212.2322,62179.3275,31.2272
UP_TU,11624.657,49119.2786,38.75
UP_UP,2360394.065,22128831.786,1165.8095
UP_WIAS,39982.27,259291.1024,87.6505
UP_ZIB,248624.378,1747652.2796,52.8212
WIAS_ADH,33170.6516,182484.8168,101.0542
WIAS_CVK,20624.7812,39651.6532,38.7814
WIAS_HTW,29360.9629,62592.9962,37.5601
WIAS_HU,53978.9236,215543.1395,31.4637
WIAS_SPK,575911.3548,2293336.9169,41.2208
WIAS_TU,42887.1358,122427.8174,51.0912
WIAS_UP,2096.4361,4222.4477,31.6831
WIAS_WIAS,14623.4706,34334.9046,57.5148
WIAS_ZIB,87311.8966,180415.9724,22.5479
ZIB_ADH,2918871.8387,28088946.4557,151.3471
ZIB_CVK,275654.6157,646013.1779,32.8502
ZIB_HTW,984508.6412,2281014.8324,23.5005
ZIB_HU,369376.3623,892172.7671,39.7982
ZIB_SPK,559070.8037,1054961.035,37.4649
ZIB_TU,915515.8778,3191971.7712,46.0489
ZIB_UP,8928.7413,13321.4277,18.9881
ZIB_WIAS,200912.061,380992.4459,36.7768
ZIB_ZIB,5309576.5832,11947628.6525,35.7073
