enlace,MAE,RMSE,MAPE
WIAS_ADH,19504.0891,55147.4537,103.5327
WIAS_CVK,27462.5508,53053.1656,62.6058
WIAS_HTW,42299.7989,92358.6349,68.3171
WIAS_HU,81207.6551,258728.3306,53.1306
WIAS_SPK,1178925.8902,3857643.6629,418.9925
WIAS_TU,51549.473,107879.6147,91.1882
WIAS_UP,3219.8848,6366.4107,59.1025
WIAS_WIAS,24755.1252,61026.3191,120.1291
WIAS_ZIB,195460.9215,410002.372,53.5345
ZIB_ADH,335737.3824,1261666.9556,82.1748
ZIB_CVK,348976.0431,775343.2099,49.852
ZIB_HTW,1563444.7705,3005442.9394,64.264
ZIB_HU,353084.6252,632765.6634,46.009
ZIB_SPK,537350.9895,1256458.2264,38.2629
ZIB_TU,994017.4975,2392851.1989,67.106
ZIB_UP,15033.0639,22024.292,35.3494
ZIB_WIAS,241652.9043,513803.6889,67.1287
ZIB_ZIB,7322821.3145,14724019.8322,51.225
