enlace,MAE,RMSE,MAPE
ADH_ADH,2269838.4659,4584658.9641,146063.7764
ADH_CVK,51596.9158,89801.2492,195.4043
ADH_HTW,2011017.2216,3509940.5467,685.1422
ADH_HU,63080.3137,109590.722,98.94
ADH_SPK,109487.4801,251310.7544,137.1154
ADH_TU,86328.7063,150147.8612,378.1618
ADH_UP,9609.2234,22207.42,266.4378
ADH_WIAS,76711.4342,350446.2274,384.6422
ADH_ZIB,165090.8984,282196.9737,123.3306
CVK_ADH,123217.6402,249423.0598,172.8632
CVK_CVK,1017771.711,2119861.685,18217.6538
CVK_HTW,163387.3982,287700.0452,104.1723
CVK_HU,122288.845,234649.8994,88.982
CVK_SPK,104089.2863,192475.7025,94.459
CVK_TU,397076.126,1454265.7215,209.3532
CVK_UP,8423.8809,24722.6594,117.4419
CVK_WIAS,50081.8884,102865.2128,426.9962
CVK_ZIB,293759.501,596201.8916,175.2974
HTW_ADH,842936.0487,1501001.2026,1655.0401
HTW_CVK,54826.1372,86225.4571,96.8478
HTW_HTW,1486419.7991,2875346.8541,170.6547
HTW_HU,157648.3729,335369.8615,213.203
HTW_SPK,186385.5343,443532.8965,112.8275
HTW_TU,82423.4985,146848.2061,82.2312
HTW_UP,9831.4963,20200.4885,63.0946
HTW_WIAS,147125.0905,468458.8478,515.2838
HTW_ZIB,356383.7693,499219.9689,64.6382
HU_ADH,324519.2728,901787.0081,176.4583
HU_CVK,106099.0717,293757.1075,105.4016
HU_HTW,562336.0484,1666512.6494,349.2548
HU_HU,1303430.1896,3366644.6373,288.897
HU_SPK,3469454.8767,6205899.1751,277.5647
HU_TU,276405.6417,1581495.0498,136.1038
HU_UP,10021.3997,16800.5158,79.0939
HU_WIAS,237411.0675,626408.3179,222.2948
HU_ZIB,2160225.7704,5293809.7121,268.5012
SPK_ADH,446501.1565,993935.0898,172.5612
SPK_CVK,141853.1241,237081.3779,71.3623
SPK_HTW,718468.0102,1600045.5828,152.4864
SPK_HU,4061958.4968,7409319.1004,120.1413
SPK_SPK,2739931.218,7514752.4194,125.6905
SPK_TU,303605.7692,643361.5086,76.7326
SPK_UP,18295.08,34504.6648,57.5852
SPK_WIAS,2786287.1398,5536010.0042,2940.9972
SPK_ZIB,1750035.374,3017476.2177,118.7882
TU_ADH,129711.8931,257967.1503,548.4253
TU_CVK,318067.3248,1366497.749,185.845
TU_HTW,221954.1886,370718.8491,81.6554
TU_HU,213014.4996,504069.1925,81.3406
TU_SPK,276243.8439,976990.9927,111.8591
TU_TU,2481418.7199,9322968.7858,1684.2566
TU_UP,8999.8653,29514.805,98.4496
TU_WIAS,92621.1418,242128.4608,401.5801
TU_ZIB,424700.1633,1172935.309,122.052
UP_ADH,19870.288,41941.8075,313.0806
UP_CVK,7839.4112,15224.3446,113.1141
UP_HTW,57057.9938,110102.0748,177.8144
UP_HU,14468.353,25032.8446,92.7228
UP_SPK,16587.0015,33149.4496,101.7499
UP_TU,10186.0799,26419.6112,129.2305
UP_UP,412469.0144,948094.2727,34682.0283
UP_WIAS,11029.6488,30985.5315,383.0179
UP_ZIB,44697.9901,100636.6719,115.3743
WIAS_ADH,48596.8277,101269.0315,281.6501
WIAS_CVK,20167.6445,43388.5328,141.3362
WIAS_HTW,90671.1376,155625.3593,74.9202
WIAS_HU,85008.637,454969.3504,95.7323
WIAS_SPK,253504.0301,804739.8651,228.8113
WIAS_TU,44775.6413,122894.0615,133.8896
WIAS_UP,2620.4645,5353.9285,78.562
WIAS_WIAS,45078.9236,193143.0587,528.3359
WIAS_ZIB,138664.0714,281313.4151,89.5604
ZIB_ADH,2179691.503,4068456.3424,531.9652
ZIB_CVK,456049.5935,1180031.3669,89.4602
ZIB_HTW,6563150.2008,8229516.1047,84.2976
ZIB_HU,423649.2398,868595.054,92.5155
ZIB_SPK,1075679.8058,2987885.8774,78.0508
ZIB_TU,1630487.5733,4587855.9238,79.6804
ZIB_UP,47208.7697,152631.4488,64.6266
ZIB_WIAS,482092.9567,919718.0692,173.3648
ZIB_ZIB,10722934.0436,18550134.8601,98.8226
