enlace,MAE,RMSE,MAPE
ADH_ADH,1762957.2245,3823055.4603,32031.2475
ADH_CVK,38843.6825,67784.4546,85.2028
ADH_HTW,1721749.9547,3049417.1698,202.828
ADH_HU,55319.1864,95609.3071,69.9934
ADH_SPK,87789.0841,232187.9116,94.3528
ADH_TU,70275.7223,127504.4073,132.6422
ADH_UP,7143.4045,16425.9628,87.5713
ADH_WIAS,66536.493,358747.4415,226.888
ADH_ZIB,141258.2493,255499.3181,76.1833
CVK_ADH,97172.8344,206136.2329,84.8969
CVK_CVK,832911.2119,1976373.881,6694.3015
CVK_HTW,149197.2462,271925.1898,82.9353
CVK_HU,104701.8713,207433.8861,68.239
CVK_SPK,87415.8012,166616.1743,64.2886
CVK_TU,232353.6033,938392.791,102.1838
CVK_UP,6251.6498,17277.0802,72.2267
CVK_WIAS,39801.2297,84660.3928,169.5816
CVK_ZIB,231528.2165,482416.1911,71.0598
HTW_ADH,377058.9263,849857.6548,266.498
HTW_CVK,46451.684,75597.5422,73.5809
HTW_HTW,1184324.1302,2371029.7441,159.0696
HTW_HU,135529.0991,285134.7842,136.9195
HTW_SPK,153043.8092,375612.7929,79.339
HTW_TU,64434.2793,116164.2502,56.5332
HTW_UP,7526.9808,14173.4161,50.1122
HTW_WIAS,107783.2821,351568.7553,204.9753
HTW_ZIB,321840.1128,451581.0971,55.7512
HU_ADH,294442.9336,816038.4596,125.5208
HU_CVK,95063.3089,287782.451,84.8467
HU_HTW,532233.3842,1553456.1502,262.9786
HU_HU,1095172.5573,3091860.2812,183.8032
HU_SPK,2735417.6296,5185742.6066,160.9068
HU_TU,250075.9586,1648676.5987,96.6157
HU_UP,8425.5218,13773.4104,59.5069
HU_WIAS,208906.5692,553029.0939,206.2072
HU_ZIB,1693402.6938,4264942.6522,150.0515
SPK_ADH,361314.2762,787317.149,79.4053
SPK_CVK,112753.8203,197336.5378,54.4518
SPK_HTW,647118.5592,1573333.0784,128.1526
SPK_HU,2955323.2923,5117039.326,71.186
SPK_SPK,1794327.6316,5364007.9351,85.4694
SPK_TU,254130.7309,586786.02,56.0179
SPK_UP,15147.2943,27871.2527,47.5144
SPK_WIAS,2125280.3231,4482620.9734,1677.3597
SPK_ZIB,1306755.8097,2393459.7412,75.3226
TU_ADH,94838.1727,198635.4441,144.1918
TU_CVK,178818.5124,908881.6406,103.9812
TU_HTW,187435.4821,321371.9394,60.671
TU_HU,184074.21,465416.7724,61.8671
TU_SPK,215490.642,844596.421,72.0117
TU_TU,1718106.3473,7799744.949,1191.9458
TU_UP,6786.1645,23258.3241,66.2927
TU_WIAS,72284.794,200788.9282,218.9474
TU_ZIB,342006.2587,1129533.1484,62.055
UP_ADH,14588.3188,34745.1076,113.8476
UP_CVK,6428.1035,13283.5461,78.6731
UP_HTW,41152.9482,84192.9183,104.695
UP_HU,12655.5624,23396.3105,77.5208
UP_SPK,13183.1728,28509.7236,65.2728
UP_TU,7994.8498,21239.5994,87.2581
UP_UP,371824.8531,875393.3642,9605.6317
UP_WIAS,7961.3878,21600.2626,245.7598
UP_ZIB,34494.1431,95108.3391,81.5611
WIAS_ADH,44328.6892,97071.5682,134.7306
WIAS_CVK,17368.827,40012.9173,86.1876
WIAS_HTW,82080.3265,144594.3096,69.1882
WIAS_HU,83254.2636,485500.2183,88.357
WIAS_SPK,209790.3104,754853.8306,141.1002
WIAS_TU,31930.3589,98322.4897,84.9839
WIAS_UP,2293.8141,4755.9859,66.6421
WIAS_WIAS,34474.1485,160188.5028,253.7156
WIAS_ZIB,120538.3185,274794.1895,61.5055
ZIB_ADH,1894739.1848,3409234.3817,151.7062
ZIB_CVK,354748.0764,1018307.9337,67.2017
ZIB_HTW,7258068.4202,8972667.6233,111.258
ZIB_HU,397909.0702,868199.1185,80.5818
ZIB_SPK,830192.628,2190462.7764,61.4358
ZIB_TU,1175499.5751,3800558.5524,58.7662
ZIB_UP,36077.2599,124495.8621,47.6675
ZIB_WIAS,429976.9354,851568.0935,131.6796
ZIB_ZIB,7639553.0907,14563205.0609,57.1382
