enlace,MAE,RMSE,MAPE
ADH_ADH,2597362.2152,4660874.0243,93.1532
ADH_CVK,99462.8102,154808.1209,92.4662
ADH_HTW,6074396.7769,7942161.9695,94.7806
ADH_HU,97702.6951,144425.6096,71.8447
ADH_SPK,213427.6537,350912.975,88.7386
ADH_TU,180189.5097,263964.68,93.6975
ADH_UP,16003.0359,25262.3399,92.8994
ADH_WIAS,105872.9982,299034.1732,94.2754
ADH_ZIB,402240.4127,526642.4948,83.6854
CVK_ADH,232017.9699,361956.4624,92.3286
CVK_CVK,1344442.6122,2221536.4328,3703.3349
CVK_HTW,306608.3363,466508.7247,87.609
CVK_HU,180810.2072,288945.2655,81.4848
CVK_SPK,249117.7397,395146.1673,88.2384
CVK_TU,626104.0081,2144274.3122,91.7611
CVK_UP,10830.78,22265.903,84.7892
CVK_WIAS,100176.763,196675.9309,94.2847
CVK_ZIB,679583.9242,1006420.7456,87.5656
HTW_ADH,3834349.6154,5019831.8069,92.0335
HTW_CVK,111906.853,169767.0664,88.8896
HTW_HTW,2119795.5062,3963860.9911,82.8633
HTW_HU,137079.8849,294053.7703,57.3491
HTW_SPK,270138.2807,490345.5297,76.1629
HTW_TU,164273.9821,245956.1758,89.7938
HTW_UP,13820.6254,22008.0675,73.3056
HTW_WIAS,168055.8349,431691.1828,91.9979
HTW_ZIB,516158.597,647204.3073,56.6883
HU_ADH,310174.3915,787505.1063,72.6586
HU_CVK,118079.7682,261883.3629,69.1268
HU_HTW,478351.4667,1266870.125,72.7083
HU_HU,2226773.1254,3562810.7497,1791.7516
HU_SPK,4548242.3723,6802516.1743,87.9314
HU_TU,283787.3403,1246109.0641,74.8939
HU_UP,9580.0497,15849.961,60.8324
HU_WIAS,252982.8524,634188.7269,75.5118
HU_ZIB,2258178.2066,6019318.2927,84.2859
SPK_ADH,562372.158,1015064.207,83.1826
SPK_CVK,248641.686,386856.5304,77.5747
SPK_HTW,718950.4184,1383721.0923,73.8499
SPK_HU,11516951.1297,15194846.3151,89.5237
SPK_SPK,5481733.4823,11449031.3517,85.4702
SPK_TU,514018.5058,809117.5408,76.8634
SPK_UP,21839.7512,35137.759,49.7834
SPK_WIAS,4493390.8141,9862814.8981,101.1112
SPK_ZIB,1959589.0346,2992704.495,72.4676
TU_ADH,283703.4903,442189.0346,92.8997
TU_CVK,539830.9515,2034442.2831,91.3033
TU_HTW,405184.2043,596928.8672,85.7279
TU_HU,262585.7868,526588.2565,73.3494
TU_SPK,383512.3723,920252.3524,84.9696
TU_TU,1727560.8649,8075545.9148,95.8912
TU_UP,10669.2598,26343.4292,86.6602
TU_WIAS,156631.3198,377639.7759,92.6521
TU_ZIB,860072.9445,1545208.289,80.3107
UP_ADH,25987.4406,48467.126,89.6941
UP_CVK,9762.5813,16126.2615,83.2368
UP_HTW,68205.1012,127899.715,74.5954
UP_HU,16034.9833,25496.4018,65.0784
UP_SPK,17948.9187,32451.9647,66.8005
UP_TU,11566.5591,23012.7308,88.2665
UP_UP,620608.6819,1135403.7249,102.8813
UP_WIAS,10125.4736,25574.0293,88.5543
UP_ZIB,45190.059,93614.0242,69.9508
WIAS_ADH,96185.0144,153094.0027,91.8908
WIAS_CVK,32925.208,67440.715,90.878
WIAS_HTW,142808.4138,197760.2499,84.1423
WIAS_HU,91543.4771,366685.9829,64.8095
WIAS_SPK,321870.591,946797.0875,92.5993
WIAS_TU,53587.704,129480.9847,92.2484
WIAS_UP,3782.0286,6770.6363,83.7682
WIAS_WIAS,50179.4878,179454.7115,91.1436
WIAS_ZIB,277004.5865,462272.2099,80.4731
ZIB_ADH,5157852.0252,7249275.6908,91.8323
ZIB_CVK,723924.5418,1412940.5038,84.257
ZIB_HTW,9866560.9094,11919984.6745,70.9173
ZIB_HU,532760.1702,920858.84,59.5253
ZIB_SPK,1783664.5133,4147208.9107,79.7325
ZIB_TU,2142687.8604,4791826.9522,86.3053
ZIB_UP,55119.6138,139818.7283,59.9174
ZIB_WIAS,745430.8769,1285283.5817,86.8119
ZIB_ZIB,25197107.4156,36824297.7699,76.2602
