enlace,MAE,RMSE,MAPE
ADH_ADH,2770382.1611,5599551.0129,194144.5135
ADH_CVK,53495.1059,92906.7475,196.5823
ADH_HTW,2078928.9976,3575859.2714,698.3356
ADH_HU,64312.1432,111261.4348,103.8022
ADH_SPK,111571.6912,255741.1187,148.9647
ADH_TU,91860.4733,158832.7287,490.3803
ADH_UP,9336.3718,20903.7646,252.0588
ADH_WIAS,85242.3539,454874.2275,585.3643
ADH_ZIB,166484.1296,285028.5728,124.9562
CVK_ADH,146424.64,298196.5346,238.736
CVK_CVK,991273.8713,2028051.9578,13493.5644
CVK_HTW,161742.5329,287764.5766,97.7087
CVK_HU,121080.7315,233084.2424,86.437
CVK_SPK,103671.9335,191559.5388,93.7899
CVK_TU,439407.9673,1524939.4357,231.004
CVK_UP,8824.8878,25426.4666,130.4784
CVK_WIAS,47366.1161,95543.048,522.4457
CVK_ZIB,285194.7534,582631.693,170.8523
HTW_ADH,952009.49,1605407.4836,1536.2241
HTW_CVK,55413.5106,87141.6239,99.9427
HTW_HTW,1360996.3536,2692685.8287,146.1081
HTW_HU,151294.9248,316998.3421,193.7686
HTW_SPK,196043.1595,469703.8084,133.9484
HTW_TU,85959.5781,151577.3392,86.9623
HTW_UP,9687.811,19301.2973,64.5477
HTW_WIAS,164009.2507,528114.2979,798.946
HTW_ZIB,361084.3293,495876.2538,61.3492
HU_ADH,337790.385,951318.1992,182.8547
HU_CVK,103950.4298,293275.7784,98.9257
HU_HTW,583851.1833,1734248.7417,378.2626
HU_HU,1304854.3715,3369263.8205,288.9593
HU_SPK,3538686.582,6335768.5068,291.7311
HU_TU,282139.86,1581491.076,145.2989
HU_UP,9939.8365,16698.1215,77.1478
HU_WIAS,277038.2052,717060.4211,296.3862
HU_ZIB,2217025.5431,5376373.0543,289.2976
SPK_ADH,453400.895,973110.501,192.9784
SPK_CVK,140033.9991,232455.0402,72.8178
SPK_HTW,690672.0476,1503397.4671,142.2727
SPK_HU,4372688.4013,7566743.8765,117.8543
SPK_SPK,2744455.5575,7371879.8864,121.3697
SPK_TU,324245.1263,675453.0548,78.524
SPK_UP,18296.0031,34372.2585,57.7977
SPK_WIAS,2846083.7863,5722229.0872,2917.0585
SPK_ZIB,1646272.1852,2760762.479,113.0631
TU_ADH,156882.9729,302593.2563,666.138
TU_CVK,438310.6527,1637822.8173,206.0044
TU_HTW,235080.8308,393385.506,85.9762
TU_HU,209573.0665,486564.9008,81.4903
TU_SPK,265443.1455,909750.787,118.8859
TU_TU,3245643.3917,12356241.3108,2966.4702
TU_UP,9814.1886,33102.4515,107.9819
TU_WIAS,96209.3613,250900.511,428.89
TU_ZIB,424740.0163,1113814.1858,129.2707
UP_ADH,18531.491,38061.3502,273.8297
UP_CVK,8401.6885,16370.5244,129.9559
UP_HTW,56176.553,107930.0463,175.8683
UP_HU,15356.9869,27200.3827,97.9096
UP_SPK,17336.0937,35074.9056,106.161
UP_TU,10223.192,27037.8349,128.2657
UP_UP,433071.0862,1047585.5838,45897.8309
UP_WIAS,11449.8768,31934.1454,414.7032
UP_ZIB,42850.0177,94554.2946,108.7394
WIAS_ADH,56631.5309,116159.8434,338.4112
WIAS_CVK,21453.9381,45742.1738,161.9799
WIAS_HTW,92155.8223,157450.307,78.1736
WIAS_HU,87798.5172,478062.4176,99.8427
WIAS_SPK,243050.1163,754273.1374,186.335
WIAS_TU,49169.6537,127888.8778,148.6438
WIAS_UP,2572.2036,5155.848,78.4394
WIAS_WIAS,46255.1848,195696.4362,520.1187
WIAS_ZIB,143604.0091,294841.0728,101.3161
ZIB_ADH,2316622.7556,4182602.1148,467.2828
ZIB_CVK,452065.3195,1123028.266,90.0448
ZIB_HTW,6589385.4069,8275611.501,87.2464
ZIB_HU,426107.6346,845838.2154,99.5806
ZIB_SPK,1066155.6093,3014713.0948,78.2471
ZIB_TU,1570965.5942,4406474.7201,75.0449
ZIB_UP,45837.0703,146343.8392,61.4686
ZIB_WIAS,478545.5872,908186.7565,189.2255
ZIB_ZIB,10790596.0874,17679747.7273,88.1994
