enlace,MAE,RMSE,MAPE
UP_HU,18865.8785,28065.261,82.1835
UP_SPK,19877.203,33800.0198,80.7536
UP_TU,12148.0256,23591.1826,93.8835
UP_UP,625287.3444,1142410.3007,102.4895
UP_WIAS,10344.6537,25639.5147,93.8514
UP_ZIB,48977.4803,95216.9169,82.0117
WIAS_ADH,96134.8654,153234.7667,97.8469
WIAS_CVK,33586.7713,68520.7308,94.7961
WIAS_HTW,151069.7717,206750.3215,90.634
WIAS_HU,109797.0351,373455.9766,85.0317
WIAS_SPK,326634.1747,952319.9913,97.5676
WIAS_TU,54669.0014,130644.428,98.7679
WIAS_UP,4045.2672,7086.2262,92.4666
WIAS_WIAS,50448.3456,179657.3178,94.4053
WIAS_ZIB,290101.4155,475668.7375,92.6287
ZIB_ADH,5153219.5136,7253238.9246,94.9127
ZIB_CVK,753373.2985,1437141.0083,91.7776
ZIB_HTW,10718248.2899,12661741.3934,75.2116
ZIB_HU,689721.5384,1073686.6113,87.4518
ZIB_SPK,1955210.2405,4299070.9298,90.2812
ZIB_TU,2221946.6035,4857041.5567,93.2701
ZIB_UP,59817.7316,142160.8812,68.5339
ZIB_WIAS,806537.9021,1371508.9259,94.5029
ZIB_ZIB,26672977.8293,38474437.5077,89.362
