enlace,MAE,RMSE,MAPE
ADH_HU,74091.5886,117940.1428,54.5046
ADH_SPK,193720.623,326372.2881,75.3829
ADH_TU,174438.0623,256724.9972,87.6712
ADH_UP,14746.1885,24056.5233,80.9426
ADH_WIAS,97700.1855,292437.4217,89.5295
ADH_ZIB,337171.9679,452820.0978,93.0915
CVK_ADH,219803.4839,347670.3857,85.6169
CVK_CVK,1005518.0353,1917690.4239,7145.5273
CVK_HTW,256782.133,409133.5681,74.837
CVK_HU,159093.423,267423.513,64.4013
CVK_SPK,210904.3526,343956.658,72.5141
CVK_TU,600088.729,2104206.0539,75.4687
CVK_UP,8786.9978,20110.4075,67.2871
CVK_WIAS,87198.02,175668.6336,82.7442
CVK_ZIB,572830.996,881554.4463,69.4631
HTW_ADH,3791347.5415,4978331.8586,84.2153
HTW_CVK,98187.4241,151882.6177,76.1755
HTW_HTW,1644764.0133,3306644.764,60.6333
HTW_HU,120947.069,276114.2454,69.4001
HTW_SPK,194521.4055,423570.6115,52.629
HTW_TU,142505.5922,217505.5095,76.7464
HTW_UP,11071.8199,19269.4049,56.421
HTW_WIAS,153375.1862,418176.3544,79.9471
HTW_ZIB,425678.9348,560852.787,47.6082
HU_ADH,272263.1694,759855.8199,64.0189
HU_CVK,94498.8715,239964.197,71.531
HU_HTW,409527.3354,1249877.4311,91.8061
HU_HU,1672757.9605,2908585.8277,976.1446
HU_SPK,3520520.8712,5839124.772,88.0375
HU_TU,233256.87,1218895.3261,71.2092
HU_UP,7598.6637,13013.2915,55.4185
HU_WIAS,218109.4765,596754.3648,65.935
HU_ZIB,2054896.6832,5554525.4955,78.945
SPK_ADH,479281.0164,930942.897,66.5151
SPK_CVK,196641.27,320327.3225,58.6441
SPK_HTW,579242.4118,1294905.4392,57.9914
SPK_HU,8630526.5243,12002293.2717,75.5629
SPK_SPK,4785702.6329,10623672.7749,68.7618
SPK_TU,364851.1042,630041.8669,57.8817
SPK_UP,15709.2137,28980.5449,37.8536
SPK_WIAS,4237118.1023,9482449.0304,139.4835
SPK_ZIB,1658822.0012,2715217.9511,59.08
TU_ADH,271391.1905,426910.114,97.0486
TU_CVK,522452.7082,2007328.723,77.9071
TU_HTW,353269.3174,535330.2408,71.7627
TU_HU,207768.5129,468016.4415,56.2321
TU_SPK,323518.243,852024.9374,66.0851
TU_TU,1702565.8045,8047957.8448,79.9967
TU_UP,8596.9661,24203.5432,66.4181
TU_WIAS,141963.6647,348912.8098,85.2555
TU_ZIB,665540.7335,1299420.6699,60.0772
UP_ADH,23777.1798,46353.9432,75.8572
UP_CVK,7234.6679,13265.5409,60.8226
UP_HTW,62924.0476,122962.9817,62.4263
UP_HU,12643.2122,23226.9262,48.7913
UP_SPK,14538.8221,29354.6914,51.1713
UP_TU,9700.9743,21259.0651,70.7547
UP_UP,571617.5838,1073191.4127,136.8627
UP_WIAS,9160.0163,24632.3158,77.5029
UP_ZIB,37474.3131,87721.8978,54.3252
WIAS_ADH,92409.5388,148156.3748,86.0175
WIAS_CVK,26236.4713,56359.8579,69.7343
WIAS_HTW,123753.7956,180882.9559,68.0899
WIAS_HU,74255.0295,357388.0956,52.7506
WIAS_SPK,304368.589,911295.7946,80.2302
WIAS_TU,49279.5278,124138.1503,80.4527
WIAS_UP,2876.4156,5563.0913,62.8073
WIAS_WIAS,46624.331,174487.4078,83.2048
WIAS_ZIB,213394.0614,384365.5341,58.1483
ZIB_ADH,4994851.1074,7076156.8168,86.2039
ZIB_CVK,626049.4012,1328085.8599,63.5099
ZIB_HTW,7029721.4537,8922738.9067,60.8286
ZIB_HU,424347.8807,806401.715,47.8503
ZIB_SPK,1484888.718,3712646.0964,58.1332
ZIB_TU,1873940.3244,4558228.9999,69.8789
ZIB_UP,46860.96,135762.4332,47.5086
ZIB_WIAS,664153.7708,1200194.622,67.0365
ZIB_ZIB,21452783.6291,32277914.0997,62.7014
