enlace,MAE,RMSE,MAPE
ADH_ADH,2126903.5678,4298437.04,49547.531
ADH_CVK,47692.9631,83018.659,129.0798
ADH_HTW,2053410.3955,3376157.8628,200.1662
ADH_HU,56874.158,97637.8101,75.3157
ADH_SPK,93995.917,229737.8372,86.4497
ADH_TU,86883.5051,156165.2665,175.763
ADH_UP,7993.1471,16856.1723,101.115
ADH_WIAS,72810.3724,398556.2439,326.9823
ADH_ZIB,154397.8745,276605.7261,84.6235
CVK_ADH,132323.3627,275511.0406,138.8515
CVK_CVK,866784.5428,1942815.1851,9468.981
CVK_HTW,149303.5231,269650.2025,70.8876
CVK_HU,108299.1555,218830.5172,70.6074
CVK_SPK,89923.6786,171129.5032,68.4731
CVK_TU,309135.2079,1130360.5022,125.7539
CVK_UP,7232.7486,19804.9773,84.0769
CVK_WIAS,40859.2523,84512.3561,210.082
CVK_ZIB,242909.2648,511697.7768,71.6103
HTW_ADH,1043971.0771,1606109.2873,377.448
HTW_CVK,47021.9268,75836.1584,79.8264
HTW_HTW,1107291.6234,2258674.8739,121.6031
HTW_HU,129464.6008,261491.7084,120.4289
HTW_SPK,148540.2739,348633.5829,73.499
HTW_TU,73385.7324,125710.2978,68.7899
HTW_UP,7847.4133,14240.4812,55.5281
HTW_WIAS,113273.5304,341371.0568,292.0011
HTW_ZIB,333385.0963,458350.6572,58.608
HU_ADH,307657.0644,867666.6128,137.6554
HU_CVK,102248.9991,313540.6587,93.22
HU_HTW,569785.6572,1729054.5748,316.5891
HU_HU,1079418.8663,3062202.8144,188.9866
HU_SPK,2661294.9723,4984092.9895,170.2165
HU_TU,261713.5868,1653781.7081,107.5189
HU_UP,8220.8199,13242.1427,58.9698
HU_WIAS,205645.5427,533368.6999,222.4399
HU_ZIB,1800705.3737,4586014.7112,171.4541
SPK_ADH,375216.0025,778814.578,97.1618
SPK_CVK,120402.2894,207854.3017,63.0111
SPK_HTW,653077.6674,1528569.8906,130.3274
SPK_HU,3416899.2203,5323803.6564,67.9611
SPK_SPK,1948535.2739,5401371.0907,95.1531
SPK_TU,270082.3974,608598.5048,58.6258
SPK_UP,14931.2639,27370.854,45.4384
SPK_WIAS,2255150.0782,4618226.6482,2351.7035
SPK_ZIB,1331387.0857,2384677.0331,78.4648
TU_ADH,144732.5502,282428.7134,230.1043
TU_CVK,269616.2724,1170168.5031,141.7977
TU_HTW,206460.5037,352202.7941,73.3393
TU_HU,172746.9772,421567.488,65.3384
TU_SPK,224978.7185,835423.3965,79.7024
TU_TU,1602532.5693,6826371.8057,618.9034
TU_UP,7639.5342,25311.2424,82.4463
TU_WIAS,75292.8392,211579.4289,318.7535
TU_ZIB,380484.2437,1209559.9465,74.078
UP_ADH,17229.6347,39471.9556,141.9927
UP_CVK,7247.1996,14027.7009,99.8527
UP_HTW,40927.4128,81088.7133,106.7533
UP_HU,12866.1361,22823.0715,84.0372
UP_SPK,13805.2379,29617.5569,72.3929
UP_TU,8570.1273,21286.3656,102.5835
UP_UP,359631.311,854041.5887,14114.8155
UP_WIAS,9865.0325,31709.4368,371.0141
UP_ZIB,33964.6572,85551.7376,82.2234
WIAS_ADH,59087.13,116634.9732,206.1828
WIAS_CVK,19392.5203,44116.0566,108.6997
WIAS_HTW,80271.0183,142481.1448,65.4961
WIAS_HU,78955.4267,450009.2689,84.6932
WIAS_SPK,206656.0673,711003.5869,136.7805
WIAS_TU,37014.5172,109513.4613,117.9283
WIAS_UP,2429.0612,4809.8817,79.1384
WIAS_WIAS,35780.9234,158803.7223,400.1967
WIAS_ZIB,122227.2961,259846.4801,67.7593
ZIB_ADH,2079105.5292,3706368.9667,139.1836
ZIB_CVK,357406.9439,980593.3589,66.786
ZIB_HTW,7000159.9628,8795144.9916,88.1548
ZIB_HU,376919.858,807036.3741,79.4572
ZIB_SPK,845221.7929,2156772.6867,62.893
ZIB_TU,1142515.4978,3294660.9214,55.8784
ZIB_UP,33912.3657,112297.2883,43.7452
ZIB_WIAS,444151.0945,868806.3071,172.1925
ZIB_ZIB,7914325.8911,15050585.452,59.7475
