enlace,MAE,RMSE,MAPE
ADH_ADH,1765275.2246,3807234.6379,30772.4889
ADH_CVK,39854.0802,69723.5194,87.7573
ADH_HTW,1715291.6819,3055411.2612,204.1722
ADH_HU,55010.3217,95034.5435,70.1083
ADH_SPK,88734.4929,232265.4561,95.9193
ADH_TU,70171.4727,128037.4837,131.216
ADH_UP,7399.7092,17125.3966,92.4474
ADH_WIAS,65968.5172,349109.5424,217.0438
ADH_ZIB,144338.3086,260111.5192,77.5067
CVK_ADH,97011.3687,206601.2521,84.9663
CVK_CVK,837811.2399,2008159.8594,7132.0571
CVK_HTW,149930.5131,272708.4827,84.4302
CVK_HU,105375.5198,208068.3184,68.8438
CVK_SPK,87887.4689,167088.3078,63.7966
CVK_TU,234674.0617,945689.4723,106.0411
CVK_UP,6153.4478,16916.9194,71.4951
CVK_WIAS,40676.1033,85522.3303,186.2857
CVK_ZIB,231136.9879,476298.2119,68.8908
HTW_ADH,364381.0475,839572.0565,268.8229
HTW_CVK,44361.158,72101.2743,70.6788
HTW_HTW,1213311.3064,2454048.3107,160.8698
HTW_HU,134765.2862,282401.8712,134.3529
HTW_SPK,151089.6229,371809.708,78.6122
HTW_TU,63838.2862,114527.323,56.1011
HTW_UP,7475.7408,14084.3438,49.8452
HTW_WIAS,108932.0858,361441.4127,210.3085
HTW_ZIB,316428.6126,443664.9993,53.7185
HU_ADH,286628.0722,788850.6927,118.5775
HU_CVK,94263.3493,285166.4734,84.3206
HU_HTW,511035.3409,1482697.5147,236.7731
HU_HU,1093088.3166,3077431.4423,183.31
HU_SPK,2751344.5516,5205465.9143,164.1613
HU_TU,252658.4165,1644090.7526,97.8236
HU_UP,8653.5437,14105.4206,61.638
HU_WIAS,220343.2265,588543.1375,225.863
HU_ZIB,1711133.1993,4288727.3928,155.1271
SPK_ADH,363589.8252,790480.7802,82.1125
SPK_CVK,114842.2394,201529.4302,55.782
SPK_HTW,663478.5302,1601605.7112,136.4739
SPK_HU,3028810.46,5208068.2258,72.4018
SPK_SPK,1835293.377,5471412.511,84.6023
SPK_TU,255651.7027,583557.176,56.2349
SPK_UP,15608.4382,28970.2293,50.0228
SPK_WIAS,2073973.2633,4363213.4816,1452.8807
SPK_ZIB,1355439.2689,2470247.5304,79.8832
TU_ADH,94698.5981,197702.174,141.5777
TU_CVK,178624.7919,905003.1526,103.629
TU_HTW,190465.07,328388.7364,61.2248
TU_HU,181028.8563,451370.2406,63.4221
TU_SPK,213674.5495,836828.1985,70.1189
TU_TU,1669885.2734,7377647.6075,1028.596
TU_UP,6850.0261,23362.4228,67.2319
TU_WIAS,78010.4279,215946.4131,236.3079
TU_ZIB,340385.7146,1133925.0859,62.0361
UP_ADH,14816.904,35022.5335,115.1993
UP_CVK,6321.5006,12942.6746,76.6506
UP_HTW,41441.0696,85459.5148,105.2691
UP_HU,12519.7009,23113.3528,76.3028
UP_SPK,13097.3067,28347.6781,64.2598
UP_TU,8029.8988,21286.1903,88.6438
UP_UP,360905.0511,855117.4093,9529.9718
UP_WIAS,8002.8282,21633.1575,247.0474
UP_ZIB,33997.788,92905.0436,79.6943
WIAS_ADH,44615.4693,97353.9603,142.4794
WIAS_CVK,17013.9383,38864.3845,85.6413
WIAS_HTW,82597.363,144616.2066,69.0904
WIAS_HU,83184.2457,482699.2538,88.9544
WIAS_SPK,218028.3344,770641.2015,166.9011
WIAS_TU,31970.7782,98186.6438,85.0856
WIAS_UP,2310.0094,4773.2913,67.9485
WIAS_WIAS,34533.3337,161090.8414,272.7376
WIAS_ZIB,121749.433,277011.4241,61.4541
ZIB_ADH,1895927.5357,3419465.9779,154.8302
ZIB_CVK,355420.9562,1019763.5971,66.9239
ZIB_HTW,7381813.3201,9276024.9896,114.2593
ZIB_HU,392015.5211,858302.8253,78.7507
ZIB_SPK,847392.5218,2217015.8842,63.4624
ZIB_TU,1168387.8841,3758773.7182,57.975
ZIB_UP,36858.991,129015.9705,48.7802
ZIB_WIAS,448445.2062,879896.3689,139.492
ZIB_ZIB,7590902.7019,14505867.4015,55.4681
