enlace,MAE,RMSE,MAPE
ADH_ADH,2559850.0004,4627647.5175,195.6616
ADH_CVK,60134.6702,101100.87,62.8517
ADH_HTW,4945136.34,6617132.7842,90.6331
ADH_HU,52094.4693,85292.7711,50.7269
ADH_SPK,133786.1685,252889.3572,68.7644
ADH_TU,140298.8959,213278.154,75.4635
ADH_UP,12737.2655,22245.1617,66.5616
ADH_WIAS,62666.1173,270093.8269,86.0067
ADH_ZIB,201118.5236,301484.1286,68.5194
CVK_ADH,184588.5115,304889.1651,70.6234
CVK_CVK,726974.2778,1624888.6023,4717.6575
CVK_HTW,200350.4157,340088.2191,68.4332
CVK_HU,103510.1976,205775.213,51.9399
CVK_SPK,130232.9288,233158.2139,60.3963
CVK_TU,530976.4159,1930059.2047,60.6817
CVK_UP,5695.4884,17144.252,46.0891
CVK_WIAS,53604.6625,118603.4607,98.3424
CVK_ZIB,427681.2108,709666.1812,70.2337
HTW_ADH,3405483.6903,4494898.6465,85.6236
HTW_CVK,52866.4288,92014.1557,45.7424
HTW_HTW,1068828.7641,2320697.1259,72.3046
HTW_HU,141961.008,256880.9827,138.8193
HTW_SPK,129190.3188,337090.3929,56.7312
HTW_TU,95816.05,157749.8659,50.93
HTW_UP,8000.6403,15284.5297,42.3324
HTW_WIAS,98632.5756,341949.2319,90.5012
HTW_ZIB,288858.2128,401757.6898,43.5679
HU_ADH,231989.8504,727150.5258,106.1796
HU_CVK,88469.8539,214098.5336,130.9868
HU_HTW,395339.9648,1187241.4445,200.1905
HU_HU,4500333.0751,5100655.7745,11220.5601
HU_SPK,2739311.1747,4685529.033,169.6414
HU_TU,201758.2952,1189804.1085,132.6427
HU_UP,12003.0587,14794.2077,148.0004
HU_WIAS,162099.185,462814.8472,144.3018
HU_ZIB,1846249.6454,4174186.1394,268.6441
SPK_ADH,367458.3439,815640.3208,68.547
SPK_CVK,100256.7377,176839.8247,42.2018
SPK_HTW,456911.9808,1144563.3969,72.9647
SPK_HU,3943143.8552,5892060.808,88.332
SPK_SPK,2436149.4822,6572485.1523,77.9762
SPK_TU,200567.2603,448463.8427,56.0885
SPK_UP,14074.8623,25336.5386,44.0742
SPK_WIAS,2769190.5703,6423007.0183,627.9157
SPK_ZIB,1165592.5019,2050354.7583,78.8289
TU_ADH,248192.4718,390779.6523,93.738
TU_CVK,450240.1994,1800559.013,62.4982
TU_HTW,200152.5072,339683.5514,43.0394
TU_HU,167575.0798,379526.5472,55.9829
TU_SPK,208913.3744,729926.4951,67.8892
TU_TU,1647082.879,7893146.9556,145.6646
TU_UP,5857.23,21641.9293,48.2086
TU_WIAS,74055.4255,212286.4046,106.9055
TU_ZIB,445775.1024,1046473.7786,52.1821
UP_ADH,22526.2964,45973.3489,67.45
UP_CVK,5633.6009,11407.5415,58.1765
UP_HTW,52870.8436,107960.434,74.2992
UP_HU,11286.8498,20356.1936,70.5882
UP_SPK,11654.0177,24466.4101,55.5794
UP_TU,6742.0325,18297.4474,56.5889
UP_UP,506734.7667,996846.6344,1704.7702
UP_WIAS,6855.274,20259.5644,94.3048
UP_ZIB,31455.9822,84826.9652,57.9509
WIAS_ADH,83153.0004,135506.525,80.8049
WIAS_CVK,16418.7853,39741.9226,54.989
WIAS_HTW,79967.2008,138403.4382,46.6679
WIAS_HU,74549.8505,344374.3233,85.1173
WIAS_SPK,205602.3918,713510.4892,102.4202
WIAS_TU,36781.6399,108384.3893,56.0377
WIAS_UP,1887.8257,4115.0243,42.6014
WIAS_WIAS,34789.6243,156826.1893,92.2704
WIAS_ZIB,125079.9439,266670.3001,65.7987
ZIB_ADH,4794314.5099,6877624.9091,74.4608
ZIB_CVK,393453.5306,1028790.9565,44.7374
ZIB_HTW,5618793.8874,7115186.2907,68.2509
ZIB_HU,387304.2772,676783.4315,88.2138
ZIB_SPK,894682.3913,2871263.7248,42.2258
ZIB_TU,1527686.9789,4167831.8804,51.0051
ZIB_UP,38486.7764,130225.5391,37.1522
ZIB_WIAS,375046.0427,784819.4303,49.369
ZIB_ZIB,11522715.2461,19449470.4614,76.9849
