enlace,MAE,RMSE,MAPE
ADH_ADH,3386649.4601,6831222.6485,226358.0316
ADH_CVK,58465.1364,101880.4349,256.0885
ADH_HTW,2151965.499,3709147.9107,724.511
ADH_HU,63909.8092,110756.7775,102.0209
ADH_SPK,113456.3978,259857.3427,121.6418
ADH_TU,103466.2005,181639.9236,497.9186
ADH_UP,9093.0109,19076.0882,254.3219
ADH_WIAS,83333.2663,318927.1915,381.1479
ADH_ZIB,173845.3152,290664.9832,144.7477
CVK_ADH,142957.5731,294738.6137,229.6987
CVK_CVK,1002577.6352,2038112.8463,13549.9285
CVK_HTW,165817.6279,290376.1097,109.5374
CVK_HU,128515.5347,250506.2754,93.416
CVK_SPK,104743.6962,195203.9661,94.5724
CVK_TU,451378.3026,1556080.5468,232.1808
CVK_UP,8896.9727,23608.9999,120.6748
CVK_WIAS,49465.3787,99259.6085,456.8843
CVK_ZIB,280834.8371,562119.5174,156.5098
HTW_ADH,1820390.2822,2827046.7943,2259.6282
HTW_CVK,57783.174,91294.9178,105.218
HTW_HTW,1402071.5637,2727853.6743,149.282
HTW_HU,157420.4938,342114.4125,213.4988
HTW_SPK,184129.1349,430260.4481,113.9089
HTW_TU,90180.1935,157711.1167,92.5371
HTW_UP,10444.03,20845.1372,71.1734
HTW_WIAS,161496.2688,521749.2302,723.7858
HTW_ZIB,366434.0919,505020.1135,64.8853
HU_ADH,338853.5895,965424.7443,189.831
HU_CVK,111106.1189,304564.6757,117.6835
HU_HTW,626436.6155,1954549.7777,429.7885
HU_HU,1263439.8728,3213076.5886,272.9494
HU_SPK,3433453.2739,6027382.0109,301.2488
HU_TU,269027.1259,1453619.7095,139.9628
HU_UP,9948.7605,15960.5059,79.3545
HU_WIAS,248489.9954,624196.9594,289.4366
HU_ZIB,2047409.556,5100491.5706,244.744
SPK_ADH,455664.7045,961907.9237,204.0909
SPK_CVK,146370.437,238493.2538,88.2982
SPK_HTW,706013.9851,1539887.5438,150.3175
SPK_HU,4380658.6066,7555461.143,118.5283
SPK_SPK,2823914.7188,7488448.9734,130.1579
SPK_TU,308149.6095,641022.0117,80.609
SPK_UP,18261.7623,34633.554,57.1602
SPK_WIAS,3028497.0241,5980968.4837,4241.6876
SPK_ZIB,1718542.907,2908140.9188,115.6064
TU_ADH,182406.2324,340799.9625,784.0087
TU_CVK,431891.6136,1722869.4966,230.6247
TU_HTW,247812.3972,411563.7655,96.3195
TU_HU,208047.3157,482940.9542,82.2484
TU_SPK,255215.3331,837813.3741,128.1848
TU_TU,3274908.8193,12283243.705,2950.7249
TU_UP,9568.3462,30767.7851,102.9626
TU_WIAS,98073.1505,254720.6025,455.2339
TU_ZIB,497525.3421,1268597.0276,150.0627
UP_ADH,18558.1917,38898.1011,293.763
UP_CVK,8200.2868,15137.0827,128.1228
UP_HTW,55255.8618,101633.1016,164.6361
UP_HU,14218.0952,24354.2956,91.8347
UP_SPK,17453.8534,34963.2072,109.0805
UP_TU,11334.1237,29051.2318,153.3543
UP_UP,432503.9859,1015104.8427,40087.7076
UP_WIAS,10687.3888,32811.1159,359.3487
UP_ZIB,43668.7553,94596.3367,112.4056
WIAS_ADH,53168.8903,105960.0937,339.7228
WIAS_CVK,21899.5541,46554.4027,151.6267
WIAS_HTW,91863.6102,157546.796,77.938
WIAS_HU,84575.9353,434244.2273,98.0696
WIAS_SPK,241842.8211,748007.184,201.6441
WIAS_TU,53688.4955,151408.9861,171.0089
WIAS_UP,2781.3202,5570.9314,90.9638
WIAS_WIAS,44559.0257,181999.5346,608.1546
WIAS_ZIB,140775.5666,279509.134,94.0295
ZIB_ADH,2336575.4592,4249729.2321,491.1081
ZIB_CVK,476706.061,1234072.6639,91.0743
ZIB_HTW,6749995.2446,8505873.3756,82.8356
ZIB_HU,414974.4571,828505.1351,89.8173
ZIB_SPK,1097593.2196,3009909.3861,79.0915
ZIB_TU,1575510.6592,4308405.6478,73.398
ZIB_UP,46281.4691,149470.057,62.8959
ZIB_WIAS,483189.401,912599.5186,182.6245
ZIB_ZIB,10907145.1032,17919981.0278,85.8542
