enlace,MAE,RMSE,MAPE
ADH_ADH,2919208.689,5824454.8127,198175.2248
ADH_CVK,54748.1486,93159.8634,234.2633
ADH_HTW,2144554.2441,3766037.1203,750.082
ADH_HU,63940.7575,110288.2329,105.8558
ADH_SPK,108823.9852,250939.1316,169.7201
ADH_TU,94479.5732,163671.739,405.1872
ADH_UP,9023.4064,19312.9054,269.4855
ADH_WIAS,84106.7537,326234.9839,598.5929
ADH_ZIB,165296.7113,278064.9457,137.8413
CVK_ADH,160744.1286,320532.0547,246.3832
CVK_CVK,1001435.6565,2026871.0196,15953.2232
CVK_HTW,163341.0487,289528.7441,86.3443
CVK_HU,127446.5766,250171.3407,87.186
CVK_SPK,110977.7146,209482.9556,94.877
CVK_TU,424126.1359,1491066.9299,218.5983
CVK_UP,9336.9886,26794.0883,142.5592
CVK_WIAS,52588.954,106665.5533,696.8668
CVK_ZIB,311908.5008,648748.2145,160.0567
HTW_ADH,1575061.6411,2555830.7261,1775.0722
HTW_CVK,55137.328,86855.9078,98.7605
HTW_HTW,1342442.9934,2652525.0198,137.3463
HTW_HU,147332.6471,304333.553,169.4473
HTW_SPK,185559.5484,442324.2512,119.8829
HTW_TU,88193.7284,151001.8737,89.777
HTW_UP,10108.2292,20033.2018,68.7228
HTW_WIAS,154639.2763,465210.3645,826.3451
HTW_ZIB,361622.7855,501801.3539,66.2883
HU_ADH,335879.2237,948022.8932,181.1879
HU_CVK,110869.4982,315476.6078,111.4465
HU_HTW,559631.011,1678116.4924,339.0938
HU_HU,1290735.2068,3341721.9901,285.6262
HU_SPK,3271305.2835,5726322.9451,269.63
HU_TU,268605.8485,1430528.8911,129.2384
HU_UP,9535.9014,15420.3024,73.6685
HU_WIAS,237545.5285,629240.459,252.0699
HU_ZIB,2181234.068,5273182.3209,295.9312
SPK_ADH,436917.572,937612.2779,190.5109
SPK_CVK,153017.3667,254591.2133,79.9458
SPK_HTW,706209.2981,1530371.3892,151.5715
SPK_HU,4820703.0011,8007538.8453,126.1298
SPK_SPK,2955533.664,8138973.5811,137.4286
SPK_TU,323697.4664,668740.8772,80.4937
SPK_UP,17417.7698,30374.4409,56.0907
SPK_WIAS,2818801.0963,5794123.3017,2924.9531
SPK_ZIB,1659627.1579,2798821.3421,114.7867
TU_ADH,149805.603,283988.0148,687.3603
TU_CVK,431083.937,1751908.4044,227.5668
TU_HTW,224237.9269,368659.1668,82.6633
TU_HU,199633.1261,456730.2395,79.8591
TU_SPK,251052.2985,839183.8293,118.1343
TU_TU,3289596.8437,12638329.1318,2668.0992
TU_UP,9680.0768,31884.612,101.9433
TU_WIAS,86468.6943,225100.9841,552.7051
TU_ZIB,483044.6752,1319385.7954,134.1152
UP_ADH,18014.585,37481.3047,291.7564
UP_CVK,8739.9665,16846.14,137.9638
UP_HTW,50375.5506,93958.7854,124.6495
UP_HU,14663.0248,25386.9539,95.2748
UP_SPK,17154.0945,34203.6075,107.5123
UP_TU,10418.6423,24925.9132,121.0416
UP_UP,413808.3537,1066236.9734,37612.9507
UP_WIAS,10931.5099,30683.0884,388.788
UP_ZIB,43694.2448,94102.742,114.6728
WIAS_ADH,68093.8541,128709.9322,370.1191
WIAS_CVK,23747.1273,50035.0,183.0392
WIAS_HTW,93207.8619,162625.8948,79.4375
WIAS_HU,83628.8425,430371.6709,98.8953
WIAS_SPK,245622.1181,755915.2075,182.0885
WIAS_TU,53555.4051,148334.6415,171.7614
WIAS_UP,3116.085,6075.5086,98.9928
WIAS_WIAS,47117.0866,198784.3426,747.6318
WIAS_ZIB,137585.9109,268820.3165,96.216
ZIB_ADH,2471785.7841,4662236.6217,667.0542
ZIB_CVK,499648.5537,1297218.011,98.6564
ZIB_HTW,6838306.2697,8590754.1016,85.1866
ZIB_HU,411582.179,836987.3166,93.9787
ZIB_SPK,1110847.5852,2962399.6053,82.8927
ZIB_TU,1500818.1898,4209719.5777,66.6813
ZIB_UP,44853.4603,142145.9001,59.897
ZIB_WIAS,493641.7949,940596.2255,195.1486
ZIB_ZIB,11842928.3127,18475536.694,106.092
