enlace,MAE,RMSE,MAPE
WIAS_UP,3109.649,5987.8457,61.4305
WIAS_WIAS,47155.8152,175233.7786,83.7888
WIAS_ZIB,227210.0035,396585.2336,63.3135
ZIB_ADH,4961355.4073,7049709.8833,83.1704
ZIB_CVK,618454.0298,1288491.7109,67.2838
ZIB_HTW,7725349.2282,9661356.3574,63.8978
ZIB_HU,417466.0558,802001.0141,46.6407
ZIB_SPK,1513752.6893,3754301.5906,61.1283
ZIB_TU,1850865.9035,4486615.3248,69.31
ZIB_UP,48440.7725,135232.6914,51.0719
ZIB_WIAS,656399.8133,1186046.157,70.1787
ZIB_ZIB,20263332.0395,30465858.0176,64.9121
