enlace,MAE,RMSE,MAPE
ADH_ADH,67065174.4417,1103064570.4181,3065.5881
ADH_CVK,38632.3051,98720.2866,72.9986
ADH_HTW,807552.4608,7208843.7953,115.0898
ADH_HU,40465.055,79595.5479,39.604
ADH_SPK,66572.2436,127985.8915,47.9954
ADH_TU,58956.7881,182063.0724,79.5323
ADH_UP,4727.5768,19933.2874,65.5094
ADH_WIAS,32544.5226,87625.6095,93.3915
ADH_ZIB,284484.1039,2295416.6979,47.257
CVK_ADH,26936.3885,104757.9474,66.2074
CVK_CVK,831017.5056,2077498.1349,52.1073
CVK_HTW,41326.173,211546.9484,33.1742
CVK_HU,32565.8542,61123.1056,27.0219
CVK_SPK,47084.0408,81988.8372,31.6658
CVK_TU,60198.2243,227231.3772,36.1467
CVK_UP,3131.3158,5976.351,27.3923
CVK_WIAS,19757.883,39704.1912,43.818
CVK_ZIB,40315.2284,70699.1137,8.6925
HTW_ADH,1635193.9895,16542591.9702,143.9268
HTW_CVK,52460.1362,110278.7125,30.0324
HTW_HTW,841012.4188,2614860.2028,52.1102
HTW_HU,99942.8165,194072.4756,34.6566
HTW_SPK,109327.6828,224750.1657,33.3061
HTW_TU,110731.2228,368387.4508,35.6235
HTW_UP,3110.7791,5225.9297,19.0375
HTW_WIAS,72038.4897,233431.0183,49.5775
HTW_ZIB,18118.0618,37659.0165,0.3941
HU_ADH,58341.9415,138462.4186,31.4161
HU_CVK,112720.1638,218567.9335,26.9389
HU_HTW,225007.9804,881745.9123,32.2836
HU_HU,67075.2122,85707.3916,0.8613
HU_SPK,1405613.2812,2326085.6284,29.0843
HU_TU,313661.9151,822825.675,30.7167
HU_UP,8484.5895,13740.37,22.9867
HU_WIAS,119517.7938,247615.5122,44.7796
HU_ZIB,9427081.4535,52321342.7668,84.5284
SPK_ADH,214599.1883,1446077.606,60.5335
SPK_CVK,133234.9626,239313.504,33.8528
SPK_HTW,278466.7245,813367.178,40.0852
SPK_HU,1022934.849,2782378.2279,14.0588
SPK_SPK,2115223.6219,3977426.0723,42.3106
SPK_TU,247686.0158,575875.6399,41.9297
SPK_UP,8131.8191,12174.2598,23.6424
SPK_WIAS,34474081.5343,669953660.3182,305.8437
SPK_ZIB,711910.7822,1195652.5209,24.8593
TU_ADH,98280.7053,521510.5607,133.9712
TU_CVK,173744.1836,461935.2905,41.3945
TU_HTW,190906.1912,1030667.0281,61.481
TU_HU,141507.2318,283248.6172,36.7903
TU_SPK,208755.4098,446402.5815,48.5102
TU_TU,2253396.4449,9535875.3284,95.9138
TU_UP,8819.9818,31609.435,60.8166
TU_WIAS,106542.7203,367775.7576,108.4846
TU_ZIB,2636678.161,16075244.3536,66.972
UP_ADH,10387.8411,45375.0711,87.687
UP_CVK,10420.1833,52840.2733,41.8187
UP_HTW,21609.4309,186688.3348,33.9762
UP_HU,17290.1084,72781.5523,42.6287
UP_SPK,64625.0465,516277.159,56.0719
UP_TU,11740.8381,46669.2802,38.3439
UP_UP,1835014.124,17175227.5539,1020.4871
UP_WIAS,35998.6377,237738.1988,77.905
UP_ZIB,291380.0051,2342103.2538,56.9682
WIAS_ADH,32249.2334,194383.7167,93.2333
WIAS_CVK,20531.0319,37326.7665,40.5607
WIAS_HTW,29005.5181,58213.0806,40.0206
WIAS_HU,58692.0221,240184.602,34.1239
WIAS_SPK,673642.8125,2958055.1205,50.2624
WIAS_TU,36814.1365,104324.7562,41.9317
WIAS_UP,2058.9881,4068.3545,30.7028
WIAS_WIAS,16237.4885,38742.9224,67.7969
WIAS_ZIB,110711.2189,225490.227,27.5285
ZIB_ADH,3422152.7202,39336797.0409,164.1048
ZIB_CVK,269297.79,638078.7589,34.0452
ZIB_HTW,1193568.9631,3915152.0879,34.6621
ZIB_HU,371215.5256,1022119.6743,41.3635
ZIB_SPK,720435.0843,3926028.9846,39.2759
ZIB_TU,1039742.3285,3924402.024,47.5643
ZIB_UP,10742.246,18867.0277,23.3796
ZIB_WIAS,199199.6299,405934.1505,48.2903
ZIB_ZIB,5480646.3832,12719191.5025,34.5436
