enlace,MAE,RMSE,MAPE
ADH_ADH,2581639.0295,4646847.0206,93.6449
ADH_CVK,98280.7322,153554.0566,92.0975
ADH_HTW,6018633.0153,7891563.6575,94.9513
ADH_HU,99965.0635,146926.6463,73.6454
ADH_SPK,213261.5533,351218.3629,90.3856
ADH_TU,178528.2991,262374.2845,94.4246
ADH_UP,15567.1838,24817.7449,90.7042
ADH_WIAS,104807.2643,297744.3922,92.9658
ADH_ZIB,399404.9615,523027.3195,87.2858
CVK_ADH,230036.1931,359911.781,93.4606
CVK_CVK,1289898.4808,2141455.3759,765.5968
CVK_HTW,300641.2593,458237.8042,84.8827
CVK_HU,178237.3882,285076.0794,80.0859
CVK_SPK,246288.2097,391519.3327,89.5207
CVK_TU,618259.6833,2129239.9036,91.7581
CVK_UP,10723.6405,22081.6784,83.5605
CVK_WIAS,98365.2725,194040.2762,91.8037
CVK_ZIB,663171.7396,988099.5248,82.6204
HTW_ADH,3807845.7155,4998430.9474,93.231
HTW_CVK,108884.6726,164695.3914,87.666
HTW_HTW,2111294.932,3962364.6214,83.188
HTW_HU,157927.5716,304403.8395,61.0055
HTW_SPK,273763.1644,489883.6196,80.9924
HTW_TU,160768.9894,241481.0095,88.7664
HTW_UP,13573.4784,21474.386,73.8094
HTW_WIAS,168740.983,430453.5491,91.0544
HTW_ZIB,543229.6062,665327.1532,59.8083
HU_ADH,302923.6263,779388.5161,68.8879
HU_CVK,122087.5619,263566.848,63.2428
HU_HTW,488288.0574,1294252.2581,73.756
HU_HU,3188492.8478,3792870.8277,4273.05
HU_SPK,4458182.2638,6664301.0495,85.1686
HU_TU,287674.4662,1242373.9479,68.5653
HU_UP,9587.3905,15903.8412,48.8989
HU_WIAS,248206.2583,622057.3858,74.5371
HU_ZIB,2295939.4626,5980569.3609,79.6199
SPK_ADH,562052.4109,1015255.7172,84.9774
SPK_CVK,248495.7431,380114.1207,81.3284
SPK_HTW,732313.4612,1412129.3632,71.9907
SPK_HU,11287313.5662,14867674.9705,86.2175
SPK_SPK,5419926.7797,11288197.8885,86.7519
SPK_TU,499840.5552,791130.7057,75.7399
SPK_UP,21683.8532,34380.1962,50.1499
SPK_WIAS,4433792.4159,9754847.996,101.2245
SPK_ZIB,1916081.8957,2927158.3371,71.8042
TU_ADH,280560.9287,438617.2291,93.3039
TU_CVK,536520.671,2027912.5989,89.3799
TU_HTW,413076.5468,614464.2063,83.3076
TU_HU,265634.218,527864.0655,74.6032
TU_SPK,397923.1876,941146.3318,87.271
TU_TU,1717591.3995,8053334.7427,91.7214
TU_UP,10659.8885,26295.8016,85.3997
TU_WIAS,157431.3235,378985.1574,89.7213
TU_ZIB,887357.1315,1581422.1441,87.2382
UP_ADH,25789.5449,48281.5977,90.7895
UP_CVK,9444.0584,15637.5842,82.1868
UP_HTW,66502.9152,126028.3267,72.0172
UP_HU,15701.1865,25655.1347,62.6889
UP_SPK,17970.4705,32134.7836,69.283
UP_TU,11458.1808,22890.8081,87.2665
UP_UP,612278.9558,1125646.7815,107.7973
UP_WIAS,10001.408,25465.5477,85.0487
UP_ZIB,44444.1433,92525.8874,68.3648
WIAS_ADH,95651.0804,152607.3537,93.8313
WIAS_CVK,31736.0525,65047.7649,88.9889
WIAS_HTW,141987.8598,197882.8854,82.6861
WIAS_HU,93970.7162,365379.2516,68.7848
WIAS_SPK,321739.9542,946242.686,89.9442
WIAS_TU,53245.2368,128863.0606,93.3834
WIAS_UP,3711.6945,6689.5474,81.3137
WIAS_WIAS,49786.4313,178795.9554,87.9266
WIAS_ZIB,268043.7548,447589.5131,81.3857
ZIB_ADH,5132759.5983,7232652.1976,91.8593
ZIB_CVK,712300.5321,1398281.7342,82.7171
ZIB_HTW,9768648.5022,11715100.7994,69.2529
ZIB_HU,589434.3125,970520.7895,70.3322
ZIB_SPK,1804339.1749,4074757.8917,81.5366
ZIB_TU,2092319.5713,4725860.6033,85.1042
ZIB_UP,51760.4575,137555.1926,54.8557
ZIB_WIAS,771970.4548,1326888.881,88.7299
ZIB_ZIB,25677195.2942,37287724.1536,83.8007
