enlace,MAE,RMSE,MAPE
ADH_ADH,2597100.1924,4660663.644,88.7257
ADH_CVK,100352.0727,156119.7379,92.88
ADH_HTW,6079520.0372,7949175.421,95.314
ADH_HU,98632.3874,145009.6449,73.419
ADH_SPK,218356.5252,357017.0977,92.3019
ADH_TU,180314.8467,264075.087,95.7332
ADH_UP,15810.8049,25078.5439,91.0136
ADH_WIAS,106004.0599,299225.5301,94.2239
ADH_ZIB,406823.9195,529637.7177,86.3335
CVK_ADH,232124.8924,362010.8862,92.863
CVK_CVK,1373865.5723,2230127.8187,982.729
CVK_HTW,307917.1741,468003.8882,88.8871
CVK_HU,180942.3301,290314.6128,77.8321
CVK_SPK,249851.6307,395946.9156,88.3648
CVK_TU,622424.919,2138711.7258,90.1645
CVK_UP,10811.9438,22263.911,85.4249
CVK_WIAS,99961.207,196245.9004,94.414
CVK_ZIB,695095.3424,1026640.5134,87.6193
HTW_ADH,3834282.8087,5019600.4873,94.8006
HTW_CVK,109117.9629,165026.2434,88.4597
HTW_HTW,2122843.908,3985187.4245,82.2678
HTW_HU,142484.186,297481.2743,56.3569
HTW_SPK,262477.7245,481957.0835,75.842
HTW_TU,167699.472,250468.8411,92.6952
HTW_UP,14501.4348,22739.0876,77.6615
HTW_WIAS,173694.2294,436871.5992,89.8962
HTW_ZIB,633218.6566,765591.9775,68.0524
HU_ADH,313757.4192,788463.9572,73.7453
HU_CVK,120766.0667,263926.9028,71.3161
HU_HTW,464343.4982,1260256.9426,70.455
HU_HU,3468375.1397,3960838.8257,5342.5029
HU_SPK,4320512.4436,6573128.7183,92.3118
HU_TU,273662.9431,1241758.9713,66.5538
HU_UP,9467.5608,15520.2434,65.2664
HU_WIAS,254312.6002,635799.9812,74.6482
HU_ZIB,2235753.7046,5965926.113,79.3197
SPK_ADH,577365.8663,1029474.2989,87.5961
SPK_CVK,247540.0335,380645.0941,80.9504
SPK_HTW,721990.6259,1387844.7432,72.7333
SPK_HU,10879166.7413,14547133.8916,84.6082
SPK_SPK,5431885.038,11331220.5068,85.3015
SPK_TU,527996.4682,827955.6979,77.4395
SPK_UP,21065.3802,34629.9201,47.7359
SPK_WIAS,4482577.0287,9838819.4785,93.5324
SPK_ZIB,1917003.8385,2966234.9552,69.7317
TU_ADH,283635.2376,441906.524,92.2322
TU_CVK,540027.2547,2036641.2055,91.3098
TU_HTW,409269.897,601019.7343,87.1722
TU_HU,262195.7898,525015.9721,72.3542
TU_SPK,395496.5718,937105.9466,87.5879
TU_TU,1727761.2656,8075333.0781,94.3896
TU_UP,10606.8641,26343.121,82.1361
TU_WIAS,157517.9522,378795.5996,92.9803
TU_ZIB,905796.1108,1604096.3756,86.9191
UP_ADH,26055.2342,48466.1558,91.2755
UP_CVK,9523.1159,15828.1468,81.6961
UP_HTW,69433.967,130092.0264,75.2608
UP_HU,15547.6764,25070.3295,63.0173
UP_SPK,17309.4209,32020.3169,63.9488
UP_TU,11441.9372,22936.3611,86.3774
UP_UP,617973.2561,1132486.0357,107.2814
UP_WIAS,10129.8448,25516.4072,89.7692
UP_ZIB,43474.2052,92582.75,65.1482
WIAS_ADH,95843.0595,152478.4268,94.3174
WIAS_CVK,32738.7686,67076.4397,90.3663
WIAS_HTW,145456.8097,200643.1659,85.7907
WIAS_HU,89139.3476,363980.1507,64.142
WIAS_SPK,320452.5892,942809.5282,91.4758
WIAS_TU,52954.5326,128335.5592,94.3909
WIAS_UP,3740.0419,6710.3514,82.8761
WIAS_WIAS,50150.2172,179439.7241,89.9024
WIAS_ZIB,280864.1108,465958.9131,81.9639
ZIB_ADH,5146719.6114,7237783.4987,93.1923
ZIB_CVK,724762.7851,1407868.9812,86.6989
ZIB_HTW,9744479.1578,11856169.8187,68.6484
ZIB_HU,545391.5768,934706.3996,61.181
ZIB_SPK,1829788.8383,4180795.9831,81.9388
ZIB_TU,2131278.3284,4773160.9169,87.1837
ZIB_UP,51863.1831,138893.0819,54.218
ZIB_WIAS,780199.6035,1336996.2244,91.0757
ZIB_ZIB,26039509.3848,37914335.1144,79.3479
