enlace,MAE,RMSE,MAPE
ADH_ADH,2582955.8213,4647963.9499,95.9857
ADH_CVK,98447.4675,153688.8839,94.4192
ADH_HTW,6049377.0351,7931942.4694,94.0857
ADH_HU,99600.551,145776.781,76.127
ADH_SPK,218043.0329,357918.3363,93.0783
ADH_TU,179003.3222,262935.8393,95.1147
ADH_UP,15746.5831,25008.8229,91.3818
ADH_WIAS,105116.5392,298167.5525,93.9673
ADH_ZIB,387469.1876,508897.1898,84.8983
CVK_ADH,224771.8661,353454.9459,91.732
CVK_CVK,1335234.813,2197692.558,1001.2702
CVK_HTW,303251.6917,462051.066,86.233
CVK_HU,178659.437,285319.2619,80.8206
CVK_SPK,239376.6261,381001.0256,86.0168
CVK_TU,618428.5242,2127626.0132,93.1313
CVK_UP,10483.0832,21887.6055,83.1055
CVK_WIAS,99234.1497,195341.1644,92.6027
CVK_ZIB,633282.597,945352.6177,83.1676
HTW_ADH,3803261.7228,4992231.0415,94.884
HTW_CVK,111355.9984,169279.6269,89.2075
HTW_HTW,2126971.6009,3963418.7904,83.4457
HTW_HU,157375.9874,306611.3927,59.4065
HTW_SPK,280371.9748,499408.7541,81.4262
HTW_TU,163197.9848,244948.7693,89.7199
HTW_UP,14046.4441,22082.6715,76.9737
HTW_WIAS,171635.8367,434080.7562,92.433
HTW_ZIB,584707.8083,718663.6433,62.5825
HU_ADH,305891.6194,780078.5154,70.7347
HU_CVK,122485.1502,263468.148,66.2094
HU_HTW,490390.4987,1294763.8047,72.9515
HU_HU,1909722.9193,3375507.4963,566.8895
HU_SPK,4520424.3847,6757282.6403,86.5921
HU_TU,294711.3943,1246863.6359,71.2407
HU_UP,9700.1825,16036.498,50.5384
HU_WIAS,250079.0296,630280.7025,73.0773
HU_ZIB,2262503.7836,5921819.2502,78.0308
SPK_ADH,555613.6125,1007856.7594,83.3089
SPK_CVK,251866.4589,384448.5653,83.5073
SPK_HTW,730541.0827,1407399.417,74.5333
SPK_HU,11001388.8126,14598695.2921,84.5604
SPK_SPK,5462431.8965,11408064.1856,84.1187
SPK_TU,521613.6804,817008.7577,79.9129
SPK_UP,22768.8414,35079.8197,53.8036
SPK_WIAS,4444195.0607,9787809.5091,102.0964
SPK_ZIB,1970562.3696,2976566.394,75.0856
TU_ADH,283060.7291,442223.1987,92.5028
TU_CVK,533342.7846,2019158.8775,91.976
TU_HTW,407710.9326,597871.8583,87.7679
TU_HU,258059.018,523060.3611,70.4602
TU_SPK,387312.5501,928366.2636,84.4324
TU_TU,1717237.6729,8053781.0468,93.1719
TU_UP,10558.8029,26218.2165,84.4495
TU_WIAS,157361.1116,378325.3073,92.3396
TU_ZIB,830205.8465,1507003.9454,81.8344
UP_ADH,25808.5366,48278.3313,90.9988
UP_CVK,9617.0874,15833.3427,84.0539
UP_HTW,67699.6926,126960.9377,75.1492
UP_HU,16247.2691,26196.3624,65.8605
UP_SPK,18505.3702,32762.4735,71.2324
UP_TU,11219.7373,22615.6379,85.215
UP_UP,620032.4281,1135584.5186,104.8308
UP_WIAS,10108.4202,25502.4122,89.8531
UP_ZIB,46012.1032,93426.0106,72.6852
WIAS_ADH,95930.6341,153008.6189,92.8782
WIAS_CVK,32705.8769,67264.4973,89.7273
WIAS_HTW,139352.8671,194580.1247,81.5212
WIAS_HU,93242.7033,366609.7189,65.9529
WIAS_SPK,323420.3351,947651.7243,94.4889
WIAS_TU,53339.3189,129178.5694,92.3687
WIAS_UP,3607.493,6525.7479,80.5723
WIAS_WIAS,49883.5689,178860.2077,90.001
WIAS_ZIB,268339.8489,448121.4755,81.9053
ZIB_ADH,5116509.4457,7214993.305,89.7859
ZIB_CVK,699759.8306,1389867.8508,79.7719
ZIB_HTW,9476477.7327,11463020.5284,67.7316
ZIB_HU,596288.0604,977495.2885,70.8784
ZIB_SPK,1806986.23,4156570.3146,81.269
ZIB_TU,2097402.9637,4738007.1273,87.5432
ZIB_UP,53078.7771,139085.3693,56.3957
ZIB_WIAS,762947.929,1313929.115,88.7889
ZIB_ZIB,24635374.0528,35913117.0078,78.2465
