enlace,MAE,RMSE,MAPE
ADH_ADH,2573098.2605,4974024.2596,191039.7875
ADH_CVK,53422.424,93089.0121,214.858
ADH_HTW,2259544.5243,3723586.5083,655.9922
ADH_HU,64217.5534,111232.8598,103.3429
ADH_SPK,109724.7102,249175.7731,153.9299
ADH_TU,99912.0599,173336.8878,509.9414
ADH_UP,9466.1871,20359.0858,304.9696
ADH_WIAS,78940.6834,346688.5734,518.0389
ADH_ZIB,172604.2302,289336.6184,145.6772
CVK_ADH,149885.9257,299779.9991,229.5684
CVK_CVK,983667.9431,2003896.5993,15617.3885
CVK_HTW,166164.9958,294272.373,98.249
CVK_HU,121949.337,235580.3978,85.978
CVK_SPK,104564.7477,194101.6853,97.0392
CVK_TU,490666.593,1662890.9716,232.5626
CVK_UP,8222.9967,23479.5488,122.9329
CVK_WIAS,47438.6097,96410.5281,499.0842
CVK_ZIB,291680.2113,600619.694,166.2701
HTW_ADH,1189360.2865,1934630.0493,1263.2857
HTW_CVK,59297.9004,94114.8133,105.6104
HTW_HTW,1419160.2794,2755559.0381,147.9931
HTW_HU,152728.3114,314596.0007,190.3133
HTW_SPK,187326.2119,445574.2326,121.6892
HTW_TU,84548.9653,145876.2711,82.5856
HTW_UP,9319.3321,17842.0909,64.567
HTW_WIAS,146605.0374,457482.4677,644.6269
HTW_ZIB,360448.4779,501613.2538,67.0131
HU_ADH,330072.9733,928454.3891,180.9325
HU_CVK,109175.6071,308132.9704,112.2762
HU_HTW,578237.6137,1743746.9621,383.2849
HU_HU,1286373.0334,3305219.6017,282.6833
HU_SPK,3338136.5337,5875871.5877,270.6479
HU_TU,262518.2437,1448844.3223,128.3639
HU_UP,9963.9743,16885.7399,77.7784
HU_WIAS,237162.3683,627059.7689,241.4955
HU_ZIB,2235773.7806,5523750.9481,288.5551
SPK_ADH,413452.1963,884819.7556,168.2182
SPK_CVK,146306.7386,242001.8718,79.4844
SPK_HTW,764988.2119,1622173.7322,169.7826
SPK_HU,4115991.8383,7293759.9983,115.3508
SPK_SPK,2727320.5059,7027583.9774,117.7871
SPK_TU,298713.416,632622.9086,72.5023
SPK_UP,17250.1465,30837.1202,54.4073
SPK_WIAS,2690474.6466,5520729.1323,2453.7347
SPK_ZIB,1655269.4086,2882600.361,110.5414
TU_ADH,151603.3707,287845.568,710.497
TU_CVK,399981.3924,1627634.9799,212.1149
TU_HTW,225039.9134,372528.6636,78.6723
TU_HU,201486.3802,465681.2836,78.5688
TU_SPK,257282.8951,864402.0759,100.6605
TU_TU,2210399.3021,8452261.3114,1295.3496
TU_UP,8741.9955,26692.5928,94.9237
TU_WIAS,89774.337,234868.5325,507.493
TU_ZIB,414741.5721,1093979.3715,125.1368
UP_ADH,18711.7808,39439.3357,292.1676
UP_CVK,7867.5071,14800.6154,111.8798
UP_HTW,51482.5111,94873.4542,136.0236
UP_HU,14257.6043,24764.7986,90.3855
UP_SPK,17010.0526,32910.2981,111.8826
UP_TU,9934.8576,24368.5251,121.1157
UP_UP,397770.5242,891790.5425,28536.9844
UP_WIAS,11614.6435,33510.2973,443.2005
UP_ZIB,41977.4234,93537.3851,103.201
WIAS_ADH,64008.3336,125513.0795,312.4008
WIAS_CVK,24067.8104,53118.4918,157.5576
WIAS_HTW,89655.4669,155237.0872,73.9765
WIAS_HU,84303.3088,441539.0589,94.9407
WIAS_SPK,244906.5088,758886.6984,187.8305
WIAS_TU,43509.9681,116058.7105,133.8778
WIAS_UP,2761.7123,5492.7833,85.8561
WIAS_WIAS,44511.8079,186446.166,570.4196
WIAS_ZIB,144468.8678,283932.6751,100.4694
ZIB_ADH,2243250.6209,4203807.2936,565.368
ZIB_CVK,454062.6321,1131976.0371,89.1451
ZIB_HTW,6544422.8226,8220040.4823,84.3715
ZIB_HU,405648.3178,831217.6343,87.3072
ZIB_SPK,1090127.2594,2952979.7074,80.2223
ZIB_TU,1568527.6806,4343072.877,72.5182
ZIB_UP,45522.5362,146296.5397,61.2216
ZIB_WIAS,479196.2589,915183.4055,173.2837
ZIB_ZIB,10653229.7165,17591792.2058,88.7995
