enlace,MAE,RMSE,MAPE
ADH_ADH,2919775.0624,5717548.9856,232206.3737
ADH_CVK,64255.1903,112437.4046,270.5695
ADH_HTW,2310457.5859,3937505.7004,839.1435
ADH_HU,63416.3788,109842.5272,100.0077
ADH_SPK,118389.9164,256623.2421,133.7536
ADH_TU,108346.9972,186774.0021,530.4269
ADH_UP,9948.1534,20650.8992,244.7236
ADH_WIAS,75840.0381,343664.8786,377.2212
ADH_ZIB,166452.8357,283596.1942,142.6077
CVK_ADH,164441.6175,320785.1953,255.5499
CVK_CVK,978252.9473,1987657.4268,14393.3345
CVK_HTW,163483.1374,288521.7851,96.3161
CVK_HU,120673.2371,230952.5693,87.3999
CVK_SPK,104353.8356,191885.446,100.8747
CVK_TU,452640.0316,1562617.8958,232.7021
CVK_UP,8815.1215,24761.4117,119.173
CVK_WIAS,49582.1946,102223.5253,458.2873
CVK_ZIB,293822.9688,592632.0345,173.104
HTW_ADH,1490555.0036,2374439.6065,1606.7015
HTW_CVK,57710.7899,91190.1592,105.6802
HTW_HTW,1362354.0995,2664049.4389,151.0512
HTW_HU,157122.9616,346700.9087,218.6682
HTW_SPK,186348.5563,446561.3177,122.9511
HTW_TU,84527.6463,142406.376,87.7174
HTW_UP,10145.4545,20023.9803,70.3031
HTW_WIAS,164757.7703,566239.8894,642.0793
HTW_ZIB,359307.742,505120.3882,64.4815
HU_ADH,331590.671,939506.4152,183.8363
HU_CVK,107250.7734,303592.7047,109.9318
HU_HTW,561643.8115,1690075.4011,353.3146
HU_HU,1290110.6357,3370023.3911,289.3991
HU_SPK,3451051.3866,6091935.8612,301.8036
HU_TU,281090.4346,1488445.9007,150.8807
HU_UP,9959.8493,16312.3172,79.4802
HU_WIAS,244931.2193,640443.999,235.5066
HU_ZIB,2162947.9437,5282036.8902,282.8298
SPK_ADH,451190.0812,970380.6103,213.357
SPK_CVK,135626.8273,224850.4297,71.2965
SPK_HTW,738965.5895,1622698.2856,164.4534
SPK_HU,4341519.8698,7498061.6983,116.755
SPK_SPK,2971221.9634,8126443.5264,139.1094
SPK_TU,310300.5968,659104.5435,74.5038
SPK_UP,17377.9671,31677.6505,53.8937
SPK_WIAS,3112241.4906,6196921.145,2893.1788
SPK_ZIB,1714562.5622,2931901.5509,115.3798
TU_ADH,218487.2253,402069.7875,782.7703
TU_CVK,395620.5161,1597025.5274,207.122
TU_HTW,245129.6329,396638.7088,101.8851
TU_HU,202175.1474,466134.0204,79.4516
TU_SPK,274425.4446,982922.7569,109.3473
TU_TU,3087721.8163,11698398.0376,2605.7934
TU_UP,9356.9447,28032.3784,107.2334
TU_WIAS,93551.0864,241555.3052,465.9079
TU_ZIB,474534.9925,1318137.9805,148.9202
UP_ADH,18160.0609,38175.5475,293.0055
UP_CVK,8807.4516,16274.299,137.7733
UP_HTW,60051.054,115399.9127,197.5775
UP_HU,13816.6989,23821.3873,85.5641
UP_SPK,17514.9787,35070.5831,109.2139
UP_TU,10665.7291,24812.7125,135.8672
UP_UP,433698.3714,1033007.7068,40163.593
UP_WIAS,11765.1531,33657.6845,434.5043
UP_ZIB,43343.1482,93460.2251,111.4384
WIAS_ADH,58200.7426,117834.0674,360.8321
WIAS_CVK,23142.6912,48215.7616,187.4663
WIAS_HTW,89875.3971,154845.215,71.9161
WIAS_HU,84996.4327,438240.2373,99.0189
WIAS_SPK,255386.8142,798912.1284,258.1831
WIAS_TU,55084.9733,155385.3107,173.9425
WIAS_UP,2781.6467,5530.1581,87.3472
WIAS_WIAS,42432.3803,177025.4129,558.5926
WIAS_ZIB,142159.4175,283409.5014,91.0282
ZIB_ADH,2404931.0116,4291852.3966,448.5463
ZIB_CVK,497407.7108,1287096.3362,96.1907
ZIB_HTW,6505815.7077,8159604.9174,84.7646
ZIB_HU,401387.4895,812780.2287,86.1972
ZIB_SPK,1103458.6254,3003363.5053,81.4664
ZIB_TU,1773999.2694,5063201.0751,84.6325
ZIB_UP,50921.2035,170517.6494,73.4569
ZIB_WIAS,496372.3571,940685.459,205.19
ZIB_ZIB,10893484.1676,17974674.5082,105.7401
