enlace,MAE,RMSE,MAPE
ADH_WIAS,97414.476,291375.7875,87.9405
ADH_ZIB,330833.489,444735.6725,70.9074
CVK_ADH,218499.3017,345839.779,84.5921
CVK_CVK,1049595.2061,1944370.5024,1567.0822
CVK_HTW,266138.6233,420931.0557,72.0486
CVK_HU,157124.8178,264546.339,63.0799
CVK_SPK,199208.517,324133.7407,67.9815
CVK_TU,596657.4537,2089495.3047,76.533
CVK_UP,8784.9842,20223.8303,63.3774
CVK_WIAS,88142.1649,179664.2254,83.093
CVK_ZIB,587373.9599,901208.0365,70.6456
HTW_ADH,3762777.431,4940911.713,85.3149
HTW_CVK,85653.8319,131988.7312,68.7762
HTW_HTW,1691670.3091,3390630.3685,60.9919
HTW_HU,113449.4593,264317.9601,66.6495
HTW_SPK,193447.3781,410638.9721,56.1617
HTW_TU,131231.2744,200039.3267,72.5106
HTW_UP,11248.3131,19203.1456,57.413
HTW_WIAS,150625.6265,410610.9883,81.6365
HTW_ZIB,454609.8054,583290.4186,50.5604
HU_ADH,273416.4826,762938.313,61.435
HU_CVK,94791.9098,240091.7275,59.9724
HU_HTW,420251.4775,1255583.9248,80.4922
HU_HU,3447596.6208,3877957.7486,6508.7811
HU_SPK,3438050.7151,5631109.3219,91.3777
HU_TU,225347.5539,1213371.0375,60.5514
HU_UP,7341.3051,12414.5549,54.6665
HU_WIAS,203352.3843,567440.3376,64.9164
HU_ZIB,1966046.0145,5353229.6759,77.3375
SPK_ADH,494984.565,944614.4692,71.1963
SPK_CVK,184606.5094,296617.2423,59.196
SPK_HTW,586044.5899,1294287.7901,57.4511
SPK_HU,8670562.3052,11967224.7107,70.7863
SPK_SPK,4157254.6559,9447249.4566,62.4128
SPK_TU,375206.2386,659160.4951,52.7335
SPK_UP,15535.0251,28920.0168,37.9087
SPK_WIAS,4105451.6002,9179106.8419,130.9389
SPK_ZIB,1549590.3561,2592192.2653,56.3006
TU_ADH,267769.2207,418907.3399,83.7769
TU_CVK,515867.7017,1983817.4177,74.0456
TU_HTW,335205.0552,510308.924,68.8804
TU_HU,192934.4484,448869.138,50.5469
TU_SPK,330431.0067,862654.4372,67.8187
TU_TU,1710883.9729,8047832.3989,82.21
TU_UP,8624.1554,24379.1348,64.9022
TU_WIAS,144512.0726,356793.1919,83.9907
TU_ZIB,738487.4132,1390231.5307,67.6768
UP_ADH,24058.8903,47033.3412,75.1784
UP_CVK,7660.1679,13716.5284,64.2699
UP_HTW,60023.6407,119576.9366,60.6061
UP_HU,11861.1175,22606.8923,46.6356
UP_SPK,13845.9665,28774.2286,48.0595
UP_TU,9806.9079,21423.1754,69.2584
UP_UP,556079.9325,1053527.0928,197.0014
UP_WIAS,8725.3456,22949.6712,81.0197
UP_ZIB,38205.2115,88741.8862,53.7213
WIAS_ADH,91781.8726,147201.8093,84.7342
WIAS_CVK,28267.0197,60231.9704,74.5313
WIAS_HTW,116912.33,172902.7197,64.8383
WIAS_HU,67321.1283,351868.4918,50.4978
WIAS_SPK,307905.3385,917537.6227,84.619
WIAS_TU,48800.5428,123211.5682,78.4131
WIAS_UP,3142.4763,6004.4627,64.5075
WIAS_WIAS,47535.5136,175266.8589,84.8927
WIAS_ZIB,223978.535,390816.4204,64.5103
ZIB_ADH,5015432.9095,7108024.2227,84.0757
ZIB_CVK,620534.0874,1296975.1211,66.7633
ZIB_HTW,7318266.3051,9192126.1126,61.8713
ZIB_HU,382814.4837,771618.0875,43.0155
ZIB_SPK,1503114.8369,3772487.9093,61.7654
ZIB_TU,1906640.2359,4528433.5785,73.8566
ZIB_UP,45317.2887,133721.809,44.9001
ZIB_WIAS,680589.0134,1203701.0328,76.5165
ZIB_ZIB,21178328.3734,31696058.9855,66.6609
