enlace,MAE,RMSE,MAPE
ADH_ADH,2581660.8282,4646860.8153,102.5256
ADH_CVK,97683.2125,152549.0544,93.0346
ADH_HTW,6027074.7427,7903047.3079,94.4874
ADH_HU,93524.8948,138990.0095,69.9753
ADH_SPK,217729.7406,357414.4146,92.145
ADH_TU,178071.0078,262093.9052,87.0728
ADH_UP,15389.9347,24577.1678,88.2074
ADH_WIAS,104433.7251,297571.4595,92.639
ADH_ZIB,397031.6003,520174.0578,85.0106
CVK_ADH,225560.5181,354320.7727,90.7383
CVK_CVK,1284650.5888,2144652.5731,910.2461
CVK_HTW,298160.3888,455528.911,83.977
CVK_HU,178953.2479,287052.8303,76.4877
CVK_SPK,237497.4749,378052.8119,85.465
CVK_TU,617591.3119,2129086.8843,90.528
CVK_UP,10328.033,21593.7756,80.2291
CVK_WIAS,97625.3607,192412.4943,91.2894
CVK_ZIB,652006.611,974728.8947,81.2612
HTW_ADH,3789751.6201,4974918.5355,93.6685
HTW_CVK,109293.0466,166802.545,86.3925
HTW_HTW,2098460.1444,3936863.5758,80.131
HTW_HU,147040.7424,296567.5166,58.0695
HTW_SPK,269247.9496,486601.253,77.6069
HTW_TU,162021.0854,242779.6254,88.967
HTW_UP,13323.9381,21270.1078,71.7018
HTW_WIAS,171649.7997,432560.5614,92.7386
HTW_ZIB,535166.3311,658343.5496,58.7178
HU_ADH,300057.7021,776522.316,67.6121
HU_CVK,117294.483,259275.5104,60.2567
HU_HTW,472257.5338,1287859.8803,69.3737
HU_HU,2648612.0688,3335771.0196,3414.6212
HU_SPK,4281388.0585,6520309.6173,85.5183
HU_TU,284402.3504,1241666.7315,67.5459
HU_UP,8817.9267,14831.9713,49.6878
HU_WIAS,247912.7037,622729.5241,73.1099
HU_ZIB,2287459.4548,5961565.2594,81.2139
SPK_ADH,558352.954,1010547.5142,83.5352
SPK_CVK,237535.8345,366106.2193,77.3357
SPK_HTW,717781.6267,1396008.347,71.2627
SPK_HU,10960241.5877,14541619.6075,83.7195
SPK_SPK,5315360.1663,11100617.6985,84.7383
SPK_TU,506388.3219,801058.2742,76.2058
SPK_UP,21013.5228,33739.6687,48.8243
SPK_WIAS,4402113.931,9704913.6424,103.8558
SPK_ZIB,1902918.0248,2919325.5413,70.3164
TU_ADH,279997.7692,437733.3451,86.6398
TU_CVK,532013.844,2012505.5147,89.6227
TU_HTW,406492.3854,600703.6105,85.4462
TU_HU,257596.7791,518355.7893,70.8948
TU_SPK,395625.3667,938185.0899,87.0486
TU_TU,1715119.5453,8050070.7204,91.5106
TU_UP,10842.0373,26494.2349,87.8271
TU_WIAS,154870.7883,373399.1818,90.0071
TU_ZIB,887129.7079,1582480.7896,86.1237
UP_ADH,25027.9508,47307.6927,88.0593
UP_CVK,9495.6642,15760.3895,81.3197
UP_HTW,66238.3944,125135.4806,73.1857
UP_HU,15311.5558,25579.1694,58.9946
UP_SPK,17552.0726,31664.2506,67.5074
UP_TU,11503.5919,22936.9123,87.5522
UP_UP,609917.8161,1123062.9874,99.3232
UP_WIAS,9722.0012,24661.3772,88.6301
UP_ZIB,44600.568,92524.7047,68.5745
WIAS_ADH,95820.5816,152830.6518,92.7851
WIAS_CVK,31922.5139,65541.4854,89.3571
WIAS_HTW,139614.8102,194875.0597,81.7335
WIAS_HU,92486.8025,363916.1064,68.0768
WIAS_SPK,321685.4388,943978.5984,93.2845
WIAS_TU,52570.7305,127842.4527,91.8525
WIAS_UP,3596.5372,6508.2801,79.3194
WIAS_WIAS,50091.7916,179053.1086,92.0715
WIAS_ZIB,264365.1363,442619.4591,81.6969
ZIB_ADH,5086187.4928,7181239.689,91.9782
ZIB_CVK,689129.6166,1357725.0894,81.0315
ZIB_HTW,9082982.0596,10954143.8251,65.7505
ZIB_HU,567817.6268,945503.548,67.3196
ZIB_SPK,1802293.7577,4096509.3892,81.2358
ZIB_TU,2116307.5443,4738981.1145,86.3668
ZIB_UP,51436.0722,137293.8703,54.9379
ZIB_WIAS,773722.7427,1330951.8213,88.1865
ZIB_ZIB,25378399.7469,36904964.928,82.1929
