enlace,MAE,RMSE,MAPE
TU_CVK,281565.5004,856051.3945,65.1163
TU_HTW,244929.9482,1241557.5546,93.8633
TU_HU,167001.3313,540052.1877,41.1594
TU_SPK,209317.2392,553489.9812,53.6876
TU_TU,2999993.0776,13053843.7805,126.8359
TU_UP,8966.0572,30800.2737,60.0778
TU_WIAS,90136.636,271929.07,88.3033
TU_ZIB,7152753.9946,56380036.0764,125.2254
UP_ADH,9530.3474,41330.9621,81.1919
UP_CVK,10309.2013,47635.479,42.7971
UP_HTW,29880.4772,244199.1961,45.5181
UP_HU,19154.8245,85666.5563,48.3938
UP_SPK,67522.0278,693660.8984,55.5118
UP_TU,14807.9164,63728.3767,48.4648
UP_UP,1824838.611,13932225.6993,1020.3899
UP_WIAS,37837.7215,250250.4578,79.6561
UP_ZIB,195317.4209,1164459.9181,49.6508
WIAS_ADH,33125.5296,188465.5559,101.852
WIAS_CVK,20560.647,38577.7289,40.4282
WIAS_HTW,31995.2505,67398.763,42.335
WIAS_HU,55897.7284,215171.4539,33.0164
WIAS_SPK,695275.9585,3105010.2345,56.3558
WIAS_TU,43460.015,125703.1717,51.0807
WIAS_UP,2118.3984,4269.7747,32.8202
WIAS_WIAS,17213.6909,47333.3488,60.6738
WIAS_ZIB,91985.1865,192557.9229,23.8824
ZIB_ADH,3802056.9171,55047786.65,142.0234
ZIB_CVK,284856.4714,662306.1288,32.9654
ZIB_HTW,829207.5868,1952689.7374,21.1623
ZIB_HU,390115.9306,1047130.0164,42.7894
ZIB_SPK,782306.3762,4286787.5573,41.0069
ZIB_TU,1065966.8068,3832959.0631,52.9128
ZIB_UP,11832.6506,22113.8806,25.41
ZIB_WIAS,219873.9413,575246.5933,51.3423
ZIB_ZIB,5853913.9823,12305431.0752,39.4596
