enlace,MAE,RMSE,MAPE
ADH_ADH,2740880.5572,5266599.2967,204832.8232
ADH_CVK,56468.656,97441.5088,229.6546
ADH_HTW,2304707.0734,3856166.7053,801.2918
ADH_HU,65107.1969,112127.3046,108.6431
ADH_SPK,115319.6721,260547.299,136.2859
ADH_TU,95656.0624,166292.4488,517.9795
ADH_UP,9915.9875,21067.2229,281.6523
ADH_WIAS,77328.8267,356238.7425,457.3028
ADH_ZIB,167961.2363,284909.3936,126.5559
CVK_ADH,147383.1776,295630.7194,233.9814
CVK_CVK,1013864.7915,2044956.765,16360.1089
CVK_HTW,164245.7255,289172.9949,98.1231
CVK_HU,125915.0356,244759.9152,90.3491
CVK_SPK,104656.0215,194330.1148,95.4939
CVK_TU,416172.87,1526219.5694,210.3808
CVK_UP,9377.3138,26823.7497,135.0698
CVK_WIAS,48025.6389,96956.626,549.814
CVK_ZIB,290758.492,596261.8287,174.1167
HTW_ADH,1249262.421,2051791.3272,1690.374
HTW_CVK,55425.9073,88013.2032,101.0071
HTW_HTW,1450580.7563,2819440.3371,172.2251
HTW_HU,151692.5395,318791.4664,190.8076
HTW_SPK,179712.5396,427402.595,105.5203
HTW_TU,88987.7305,154365.1598,92.7916
HTW_UP,9438.3156,18800.1266,61.6745
HTW_WIAS,138298.1791,417203.9534,481.2575
HTW_ZIB,355238.804,496819.5277,64.5436
HU_ADH,323915.7061,900463.7888,178.042
HU_CVK,110347.091,309189.0652,108.4909
HU_HTW,567624.6129,1728503.2236,350.3245
HU_HU,1286867.7714,3319760.84,283.0052
HU_SPK,3477725.3248,6219373.7778,291.204
HU_TU,262877.9309,1465694.6223,137.8695
HU_UP,9599.1636,16169.6517,73.4665
HU_WIAS,243901.9664,633734.0802,245.2023
HU_ZIB,2314959.8288,5643428.8023,293.3036
SPK_ADH,434611.5935,934983.8469,183.3051
SPK_CVK,158502.8549,262338.6693,82.4835
SPK_HTW,677972.1312,1510620.4319,138.2043
SPK_HU,4408840.6815,7619131.2174,121.0625
SPK_SPK,2742438.4903,7377434.409,125.2411
SPK_TU,306408.8814,646848.7326,80.8419
SPK_UP,17289.0109,31431.5978,54.0373
SPK_WIAS,2867245.3953,5636213.1429,3065.4367
SPK_ZIB,1691795.9793,2914115.6177,113.4007
TU_ADH,135174.3253,257169.0349,744.3836
TU_CVK,361347.7534,1500977.1607,188.7211
TU_HTW,231552.0465,389998.7772,82.5734
TU_HU,211732.463,499570.6364,81.2616
TU_SPK,262581.1429,877513.5208,112.0423
TU_TU,2493118.1681,9370258.3072,1595.6199
TU_UP,9662.1345,32302.0176,106.8637
TU_WIAS,92715.6294,242009.2896,451.3912
TU_ZIB,445865.0984,1170663.2288,142.6393
UP_ADH,20757.1533,43336.9489,322.0979
UP_CVK,8263.2789,16002.6773,125.9059
UP_HTW,53624.8149,98772.8953,149.4872
UP_HU,14147.3909,24424.9241,90.1103
UP_SPK,16472.2475,32451.1417,104.3519
UP_TU,9796.6474,24565.6868,126.0807
UP_UP,418495.4559,965078.8713,37511.4141
UP_WIAS,11194.0462,32558.9564,390.7763
UP_ZIB,44046.9254,97180.6656,114.471
WIAS_ADH,65612.1313,130383.7631,352.2538
WIAS_CVK,20853.6591,45675.3355,142.0881
WIAS_HTW,90091.4837,156020.5644,73.7308
WIAS_HU,85483.0044,463148.1786,94.282
WIAS_SPK,243777.9018,764790.8625,208.6958
WIAS_TU,52324.1932,147494.5569,162.0464
WIAS_UP,2896.5525,5808.5643,94.5828
WIAS_WIAS,44533.5475,182084.7952,664.7634
WIAS_ZIB,137943.1218,272155.8149,100.154
ZIB_ADH,2311871.3688,4261027.5952,567.172
ZIB_CVK,468629.0535,1198355.8892,87.1568
ZIB_HTW,6525688.9175,8186522.7521,86.966
ZIB_HU,421348.6969,868320.4965,94.446
ZIB_SPK,1112586.4819,2965065.3061,79.1884
ZIB_TU,1609371.3843,4442023.7987,74.1377
ZIB_UP,47858.7168,152304.6993,66.8453
ZIB_WIAS,483835.3268,917573.2656,181.5181
ZIB_ZIB,10956765.8643,18020423.4952,96.7835
