enlace,MAE,RMSE,MAPE
ADH_ADH,2597385.4625,4660892.0448,88.1531
ADH_CVK,101197.2734,157316.566,97.9523
ADH_HTW,6105126.0017,7981957.811,96.99
ADH_HU,111820.9336,160281.9111,86.3243
ADH_SPK,222888.3622,363703.3954,94.0323
ADH_TU,181069.6111,265395.1766,92.6427
ADH_UP,16152.8559,25423.9035,92.9866
ADH_WIAS,106616.8008,299704.8795,97.0947
ADH_ZIB,428652.6599,556150.1816,94.6007
CVK_ADH,232154.862,362027.5066,93.3919
CVK_CVK,1506763.4168,2357308.0803,644.3469
CVK_HTW,320587.4621,480605.5548,94.81
CVK_HU,194460.3671,303401.9824,90.2679
CVK_SPK,257832.7773,406524.3268,94.8716
CVK_TU,627848.1481,2144971.0778,96.7842
CVK_UP,11344.1829,22717.0363,91.4284
CVK_WIAS,101250.9828,197980.1697,95.6129
CVK_ZIB,700604.2067,1031730.4083,90.8491
HTW_ADH,3844073.8389,5032237.2442,93.984
HTW_CVK,118627.4909,179120.8298,94.2075
HTW_HTW,2262726.6513,4157430.7967,92.2655
HTW_HU,176551.1363,320134.4677,70.2229
HTW_SPK,301849.5088,522671.0777,88.9848
HTW_TU,172817.7735,258458.4437,94.5327
HTW_UP,15134.9644,23086.1571,84.4245
HTW_WIAS,175537.9128,437844.6853,94.89
HTW_ZIB,672344.0916,794979.6274,73.4353
HU_ADH,328201.3301,796878.0065,79.6536
HU_CVK,140155.0195,278643.6812,77.1932
HU_HTW,497941.3133,1277306.7611,82.1545
HU_HU,2762051.5056,3735026.1736,3076.0665
HU_SPK,4871295.7889,7118123.657,91.0187
HU_TU,310411.1625,1257129.4853,75.9476
HU_UP,11702.7953,18228.7095,58.0186
HU_WIAS,268513.7582,647878.2479,86.2113
HU_ZIB,2364785.8778,6134554.4595,87.8381
SPK_ADH,588622.9868,1041579.7338,91.3922
SPK_CVK,263355.4363,402993.4423,86.2434
SPK_HTW,786290.1909,1428917.2811,86.9557
SPK_HU,11772480.5044,15420666.0014,90.999
SPK_SPK,5716837.7246,11732739.1472,91.9613
SPK_TU,562582.3279,863552.0776,86.4633
SPK_UP,27023.8921,39202.2565,65.7033
SPK_WIAS,4524601.2483,9897019.0557,96.5029
SPK_ZIB,2134352.1009,3139082.2101,84.5225
TU_ADH,285550.6967,444846.2086,93.2792
TU_CVK,542514.4783,2039359.4372,94.4299
TU_HTW,432670.9215,632775.3822,92.5673
TU_HU,303940.2414,571102.6852,87.56
TU_SPK,414251.603,961427.4854,92.218
TU_TU,1728153.5737,8075682.9451,93.6287
TU_UP,11150.1153,26800.13,91.8687
TU_WIAS,158702.6646,380418.7208,93.2347
TU_ZIB,937985.3955,1644685.2697,94.0332
UP_ADH,26259.1641,48599.9959,89.2545
UP_CVK,10228.2808,16497.6787,91.6629
UP_HTW,71330.3686,131366.9505,82.6595
UP_HU,17265.4566,26290.3223,73.0772
UP_SPK,20191.0572,34058.2368,82.5079
UP_TU,11963.2406,23372.9185,92.1634
UP_UP,626931.6884,1143804.3326,101.6503
UP_WIAS,10258.9169,25635.8227,91.4066
UP_ZIB,49162.2221,95760.2039,82.5504
WIAS_ADH,96579.2131,153684.2707,88.9401
WIAS_CVK,33674.0941,68371.571,95.4353
WIAS_HTW,153135.9115,208790.1732,91.6664
WIAS_HU,106074.3525,372179.1943,80.9741
WIAS_SPK,327515.9108,953898.3183,96.1846
WIAS_TU,54728.3169,130819.2291,96.1993
WIAS_UP,3856.6362,6839.2981,88.0257
WIAS_WIAS,50684.0295,180114.2456,92.7246
WIAS_ZIB,293967.876,482630.1149,91.056
ZIB_ADH,5183608.8127,7275174.9325,95.6679
ZIB_CVK,740685.969,1425450.9317,89.2238
ZIB_HTW,10354931.9115,12307597.4377,71.9618
ZIB_HU,670343.1706,1054524.6231,84.1051
ZIB_SPK,1953000.0227,4304975.6605,89.1526
ZIB_TU,2203323.9757,4842006.1163,90.6858
ZIB_UP,61582.9828,143013.9091,71.3433
ZIB_WIAS,812337.3604,1380800.1541,93.8663
ZIB_ZIB,26939335.7266,38864769.6954,87.7676
