enlace,MAE,RMSE,MAPE
ADH_ADH,2577432.7551,4643202.4234,89.833
ADH_CVK,92035.3598,144641.6406,85.8074
ADH_HTW,5746708.8195,7554247.143,86.3924
ADH_HU,70647.2443,114178.7617,50.5042
ADH_SPK,183127.6332,311044.1407,76.5109
ADH_TU,173259.0805,255419.5121,85.2592
ADH_UP,14458.871,23714.8487,75.5148
ADH_WIAS,95757.7841,291674.4152,84.2922
ADH_ZIB,342338.7869,458597.7953,71.729
CVK_ADH,220327.7505,348723.8778,82.6741
CVK_CVK,980183.5512,1878609.1371,1719.6581
CVK_HTW,269584.8247,422945.4722,72.6627
CVK_HU,144768.9816,251204.0861,57.4899
CVK_SPK,199827.6909,329097.5589,63.9398
CVK_TU,599348.4339,2094829.1743,77.5478
CVK_UP,9441.3548,20945.451,68.8489
CVK_WIAS,86090.4698,172803.6924,81.739
CVK_ZIB,593015.1562,907000.2654,70.4294
HTW_ADH,3725645.788,4893294.2453,85.6531
HTW_CVK,89635.4565,139280.2632,68.0125
HTW_HTW,1707645.7553,3442574.8746,60.1431
HTW_HU,114888.4671,267045.378,63.8792
HTW_SPK,207474.5008,425883.6933,56.6589
HTW_TU,130592.1642,199581.8662,69.9337
HTW_UP,11438.0625,19506.2198,60.3637
HTW_WIAS,150162.7145,409742.2822,81.1725
HTW_ZIB,391886.3135,515663.678,46.3431
HU_ADH,267921.6027,758994.3276,65.9337
HU_CVK,93110.8186,238241.8931,57.5961
HU_HTW,397056.7344,1246320.3169,77.8127
HU_HU,3040952.7533,3510308.8939,5592.029
HU_SPK,3039218.4021,5287549.7854,91.8991
HU_TU,231124.1769,1217436.2102,68.4447
HU_UP,8332.991,12823.7407,79.9863
HU_WIAS,200130.6328,567386.3651,66.9393
HU_ZIB,1927696.3566,5339613.2717,90.7797
SPK_ADH,486618.4088,937659.2112,68.6491
SPK_CVK,175724.7956,289461.2923,53.2943
SPK_HTW,550971.8002,1270678.7991,52.5282
SPK_HU,7243334.1988,10401953.9132,66.1184
SPK_SPK,4335448.4028,9735693.1317,64.0701
SPK_TU,383034.069,667555.9592,54.8442
SPK_UP,14974.3665,28589.3018,36.4646
SPK_WIAS,3853048.0932,8591288.7204,143.2978
SPK_ZIB,1434078.361,2478891.1421,53.0977
TU_ADH,277212.6821,433350.6265,83.9353
TU_CVK,516052.4104,1979323.1775,74.515
TU_HTW,362226.5829,548906.2721,71.233
TU_HU,190190.6197,443965.8708,50.6104
TU_SPK,328248.2832,859256.799,64.793
TU_TU,1706447.7448,8041208.1497,78.7307
TU_UP,8456.3535,24155.0828,61.4639
TU_WIAS,140973.2521,345951.4614,83.2099
TU_ZIB,735996.302,1386374.2911,71.1529
UP_ADH,22997.9734,44973.5137,78.1167
UP_CVK,7573.7409,13771.6639,61.1767
UP_HTW,60765.2629,121084.8674,60.1612
UP_HU,11934.3974,22670.2429,47.3395
UP_SPK,14017.3989,28591.8223,50.5716
UP_TU,9673.5929,21294.0299,69.3759
UP_UP,579965.8381,1082421.5384,216.0327
UP_WIAS,8796.4082,23290.3607,79.3268
UP_ZIB,36814.1889,87746.2565,52.538
WIAS_ADH,92661.7506,148482.5554,88.943
WIAS_CVK,27125.7088,57817.2139,71.7936
WIAS_HTW,120774.0927,176474.1558,67.8228
WIAS_HU,68025.6303,352555.9809,49.203
WIAS_SPK,292189.3369,880573.3539,76.4577
WIAS_TU,48174.0877,122069.6816,74.5922
WIAS_UP,2914.9728,5690.8057,57.9973
WIAS_WIAS,45395.7313,171151.3681,81.294
WIAS_ZIB,218087.7526,384262.7656,63.0351
ZIB_ADH,5023176.1155,7118495.0082,82.1548
ZIB_CVK,607309.8953,1294737.4143,61.7757
ZIB_HTW,7599259.6974,9502620.1694,62.7154
ZIB_HU,389930.1489,776317.0571,43.9088
ZIB_SPK,1413988.3892,3686194.5471,58.3642
ZIB_TU,1837789.1662,4476880.514,67.3166
ZIB_UP,45427.5019,134032.1372,45.3596
ZIB_WIAS,625057.2326,1134264.689,64.9659
ZIB_ZIB,20922899.1927,31566729.6975,64.9252
