enlace,MAE,RMSE,MAPE
ADH_ADH,2735474.8155,5492635.5944,187507.191
ADH_CVK,53941.1609,92406.0049,218.535
ADH_HTW,2260140.1999,3750216.4897,742.9862
ADH_HU,64403.788,111278.0559,104.0521
ADH_SPK,108039.6761,243981.3038,133.0438
ADH_TU,97844.6441,171509.403,459.6183
ADH_UP,9025.7367,20033.1691,240.1074
ADH_WIAS,79190.357,342476.372,415.0583
ADH_ZIB,172555.5848,292925.2768,130.5961
CVK_ADH,149000.8546,299685.2314,235.7375
CVK_CVK,974370.5014,1992403.6227,14732.5364
CVK_HTW,161059.3853,284861.2208,95.7301
CVK_HU,120561.9115,231042.6379,86.316
CVK_SPK,104988.1391,195020.5518,95.6014
CVK_TU,458982.702,1583344.1917,222.6897
CVK_UP,8737.9441,25395.0224,124.8994
CVK_WIAS,50543.0965,102634.714,465.974
CVK_ZIB,290617.04,594182.5342,173.0908
HTW_ADH,1540181.6975,2424167.9315,1536.4138
HTW_CVK,58893.3624,93152.5546,106.0316
HTW_HTW,1383403.014,2687587.0985,143.4985
HTW_HU,155710.903,325327.8997,199.7321
HTW_SPK,183932.5382,426915.6454,103.9308
HTW_TU,77303.712,133573.0789,76.245
HTW_UP,9777.3769,19751.8818,64.4029
HTW_WIAS,149236.108,491397.8874,523.4288
HTW_ZIB,350783.7267,487718.6735,61.98
HU_ADH,334983.2912,934236.6449,187.9635
HU_CVK,106068.5017,297154.2775,108.7675
HU_HTW,596817.9194,1829063.3645,391.9998
HU_HU,1278415.0123,3243632.1758,283.3179
HU_SPK,3415457.476,6040361.1613,287.0618
HU_TU,263999.6989,1477114.3839,134.2428
HU_UP,9896.3991,16604.544,77.7319
HU_WIAS,230133.6202,601778.242,240.4202
HU_ZIB,2085781.122,5110724.0609,267.4727
SPK_ADH,452104.7136,1004450.2554,181.1831
SPK_CVK,144637.8301,241506.3871,73.2727
SPK_HTW,728335.1944,1609033.2974,162.6905
SPK_HU,4464760.1823,7478124.3436,114.6708
SPK_SPK,2770710.4676,7670607.2571,135.3963
SPK_TU,308216.5381,652709.417,77.6707
SPK_UP,18855.6063,35939.0023,60.4279
SPK_WIAS,2898301.9167,5768898.5963,2923.2502
SPK_ZIB,1683405.2594,2919644.5329,112.1652
TU_ADH,157088.3422,297700.0298,730.6211
TU_CVK,381498.8847,1554495.0114,197.68
TU_HTW,245411.5156,414681.8067,91.4144
TU_HU,210954.9205,496798.5478,80.6626
TU_SPK,248145.8463,835014.7561,119.56
TU_TU,2886981.1735,10804578.7678,2183.3484
TU_UP,9735.8389,33024.7892,106.6728
TU_WIAS,92705.0683,235489.5296,555.1217
TU_ZIB,453740.2805,1210149.2664,136.0642
UP_ADH,18450.537,38327.289,292.2042
UP_CVK,8049.4481,15260.8819,124.2179
UP_HTW,54416.6628,103681.9801,161.3123
UP_HU,13805.9583,23811.722,85.0599
UP_SPK,16832.2676,33755.4683,103.1956
UP_TU,9932.9953,25420.0214,131.2723
UP_UP,432042.676,995876.7508,38917.2985
UP_WIAS,10975.871,30433.2671,372.5911
UP_ZIB,42866.1783,94881.0721,107.8497
WIAS_ADH,61587.0908,120736.8467,354.4821
WIAS_CVK,20453.0979,44571.3099,143.0256
WIAS_HTW,91018.0514,156271.7898,76.6252
WIAS_HU,88463.7873,480094.9842,99.4937
WIAS_SPK,245654.5073,762360.5662,190.1946
WIAS_TU,50534.2924,143937.3611,153.3336
WIAS_UP,2637.7552,5303.5926,82.4555
WIAS_WIAS,45075.0709,189600.8377,543.9374
WIAS_ZIB,134695.6246,269263.1758,90.117
ZIB_ADH,2369991.2554,4373010.5645,600.4507
ZIB_CVK,454419.483,1173533.8792,87.1063
ZIB_HTW,6453345.2736,8095105.8322,85.4396
ZIB_HU,406902.7804,828642.2257,88.9736
ZIB_SPK,1082541.5006,2995905.2707,78.557
ZIB_TU,1630210.0797,4466697.0527,76.0075
ZIB_UP,48388.1225,156677.2611,67.6599
ZIB_WIAS,494249.35,941426.8135,177.912
ZIB_ZIB,10932605.1888,18974018.7898,100.3555
