enlace,MAE,RMSE,MAPE
ADH_ADH,2049768.6812,4324938.0833,41263.6838
ADH_CVK,42851.4764,74681.6971,100.3588
ADH_HTW,1777896.0571,3125595.1516,213.1699
ADH_HU,57026.7889,98920.5291,73.5274
ADH_SPK,87813.8656,228347.4746,92.7561
ADH_TU,74349.3694,135184.858,149.0525
ADH_UP,7499.0576,16675.4514,94.155
ADH_WIAS,71637.1584,382743.0874,279.5024
ADH_ZIB,146442.4414,265820.7832,79.6418
CVK_ADH,112710.092,235950.415,108.9677
CVK_CVK,827862.2664,1876617.7124,8194.206
CVK_HTW,147402.3178,267320.7852,73.683
CVK_HU,109327.4092,219908.2666,71.945
CVK_SPK,87533.0189,166446.9397,66.69
CVK_TU,258691.4713,1000884.2703,115.475
CVK_UP,6594.2807,18191.1232,77.9723
CVK_WIAS,40124.6544,83579.3657,232.0981
CVK_ZIB,235509.1414,489686.3651,71.0192
HTW_ADH,609968.6998,1086019.6005,312.9053
HTW_CVK,46994.9147,76002.0321,77.8585
HTW_HTW,1131850.3467,2282306.165,134.941
HTW_HU,129213.3771,265806.6309,122.1351
HTW_SPK,149084.2658,363647.6526,77.7489
HTW_TU,68249.4861,119877.5877,62.7072
HTW_UP,7547.7997,14046.1058,50.9874
HTW_WIAS,116267.7203,391471.9278,252.7059
HTW_ZIB,323358.4763,451789.0521,56.0543
HU_ADH,297726.3463,827670.2207,129.4663
HU_CVK,96617.9593,292604.8235,88.1025
HU_HTW,526629.6712,1565809.4615,254.7325
HU_HU,1095943.4855,3121403.9445,185.5974
HU_SPK,2655006.4183,5002541.4524,163.239
HU_TU,248980.8495,1524054.9824,104.5265
HU_UP,8126.4592,13253.8232,57.3415
HU_WIAS,194663.2062,519535.3874,184.1747
HU_ZIB,1694202.6615,4329859.0447,154.5144
SPK_ADH,372942.9973,806701.114,88.4007
SPK_CVK,117518.1893,204302.4279,59.0587
SPK_HTW,667780.3035,1594702.4537,138.9683
SPK_HU,3209959.2774,5211489.0468,69.0204
SPK_SPK,1903827.6536,5273807.0568,92.1428
SPK_TU,266332.5668,597829.5137,60.218
SPK_UP,15346.2674,28505.6954,48.7326
SPK_WIAS,2213314.8801,4523024.6088,2048.6126
SPK_ZIB,1331175.3626,2412907.6305,78.4635
TU_ADH,101712.8393,212280.3051,158.4106
TU_CVK,242462.3914,1024365.5179,126.046
TU_HTW,191855.7571,325427.725,66.56
TU_HU,177528.8088,439194.4373,63.5371
TU_SPK,223244.9639,832371.5738,77.6862
TU_TU,1604387.2972,6828394.7799,852.9081
TU_UP,6979.7165,23731.6265,69.448
TU_WIAS,82155.5091,229623.9121,288.5745
TU_ZIB,380132.285,1213956.6099,77.1057
UP_ADH,15483.208,35776.4733,124.4241
UP_CVK,6534.9743,13083.2711,82.6478
UP_HTW,41091.9323,82532.325,107.2738
UP_HU,12329.842,22429.9105,76.1548
UP_SPK,13123.214,27692.1799,69.0066
UP_TU,7935.6304,20240.8432,89.5562
UP_UP,359466.1253,834284.4227,9642.3783
UP_WIAS,8649.7246,24349.5519,293.9294
UP_ZIB,33084.8645,86940.586,77.7721
WIAS_ADH,49479.7647,104532.6927,165.8927
WIAS_CVK,17367.5127,38701.3481,92.3852
WIAS_HTW,83304.7254,148114.9678,73.3054
WIAS_HU,78719.1095,452754.8814,85.6264
WIAS_SPK,202923.3685,704865.7319,142.8798
WIAS_TU,32677.7935,91652.2441,98.45
WIAS_UP,2423.13,4904.0941,73.7148
WIAS_WIAS,33945.1238,154034.8618,380.5874
WIAS_ZIB,120235.1941,261531.4909,67.5859
ZIB_ADH,1904938.1255,3453374.4309,155.6641
ZIB_CVK,350381.532,955078.007,64.4959
ZIB_HTW,6399368.5321,8012630.7482,84.2238
ZIB_HU,373330.2383,805657.9464,74.187
ZIB_SPK,858202.6356,2139083.064,61.9768
ZIB_TU,1195045.804,3819194.7788,58.6453
ZIB_UP,35253.7584,119942.3474,45.9607
ZIB_WIAS,439522.9746,869047.0973,142.1199
ZIB_ZIB,7809518.809,14721487.2147,60.9147
