enlace,MAE,RMSE,MAPE
ADH_ADH,2583743.4372,4649990.809,125.258
ADH_CVK,71454.8783,117128.6921,68.1873
ADH_HTW,5412933.3567,7149994.8319,84.166
ADH_HU,51486.1045,86117.0688,63.3154
ADH_SPK,119570.7523,227729.7787,69.6714
ADH_TU,160169.6067,237342.9629,78.795
ADH_UP,12964.3236,22381.4183,70.7109
ADH_WIAS,68965.3333,273719.9933,84.0112
ADH_ZIB,259918.39,367928.412,100.3992
CVK_ADH,192348.9192,313181.5533,76.3131
CVK_CVK,769299.9127,1670877.2092,8996.8385
CVK_HTW,241889.2869,397285.5282,83.3263
CVK_HU,122612.0228,229390.6235,62.3889
CVK_SPK,152855.7599,266228.3538,71.4217
CVK_TU,580993.4353,2091515.1876,71.9194
CVK_UP,6493.223,18703.1087,56.1124
CVK_WIAS,66730.0219,143474.6359,114.6619
CVK_ZIB,532822.9093,841797.813,106.6388
HTW_ADH,3611220.6422,4742247.8573,78.2991
HTW_CVK,51288.6679,87414.3202,46.85
HTW_HTW,1125374.155,2514940.3834,72.0617
HTW_HU,201934.9605,301235.9861,230.577
HTW_SPK,167183.6145,373796.2508,87.7259
HTW_TU,76557.0835,128185.8369,49.6372
HTW_UP,8622.3042,16290.1451,45.5437
HTW_WIAS,114061.9006,388815.6292,84.693
HTW_ZIB,328970.7539,449657.6431,47.6638
HU_ADH,256947.4336,750704.2132,170.8173
HU_CVK,96186.2581,216774.2922,187.2472
HU_HTW,446761.8907,1162681.0251,352.3455
HU_HU,4935875.1191,5469531.7498,10537.2224
HU_SPK,3501651.1752,5291794.6094,334.507
HU_TU,240796.5466,1194243.6955,204.8512
HU_UP,15852.0871,18760.4403,212.5348
HU_WIAS,182458.3199,502969.6286,202.1548
HU_ZIB,2173644.9168,4834830.0401,330.82
SPK_ADH,436714.7285,883744.9955,108.5169
SPK_CVK,120300.9194,195611.6321,52.1121
SPK_HTW,507486.0397,1132286.6083,104.7735
SPK_HU,7958955.4405,10130357.9477,164.6687
SPK_SPK,2612554.6075,7679126.928,106.814
SPK_TU,208376.4225,464738.4176,67.1415
SPK_UP,17479.5312,28023.3652,72.6925
SPK_WIAS,3628927.8352,8459695.4094,470.9079
SPK_ZIB,1307668.8381,2224914.7132,98.9567
TU_ADH,263228.0696,411982.4164,114.5577
TU_CVK,497345.3606,1972278.6656,69.4228
TU_HTW,246536.7085,410211.366,48.9215
TU_HU,195463.5037,403659.9654,70.9939
TU_SPK,203979.0942,723488.2437,121.2689
TU_TU,1700667.6826,8058147.1301,82.4263
TU_UP,6332.7101,22267.6321,51.5163
TU_WIAS,119912.7989,324685.8192,92.9445
TU_ZIB,598643.4956,1238574.0705,74.7148
UP_ADH,22620.0578,46044.8543,79.6438
UP_CVK,5877.7039,11613.0227,68.0071
UP_HTW,56970.183,115202.9761,73.5389
UP_HU,13003.2357,21405.6932,87.371
UP_SPK,12652.55,26360.551,67.2885
UP_TU,7278.7484,18690.2628,62.0585
UP_UP,446209.0095,903882.0839,1688.8732
UP_WIAS,7462.8395,23300.7388,105.3397
UP_ZIB,32786.4578,84867.6157,61.6452
WIAS_ADH,76031.2165,125345.8874,76.2002
WIAS_CVK,18152.9669,41715.517,61.0565
WIAS_HTW,93913.9349,151903.2825,52.2267
WIAS_HU,78781.8635,346379.5153,98.7336
WIAS_SPK,229205.0267,767800.7245,94.9472
WIAS_TU,43484.4486,117551.7587,63.2658
WIAS_UP,2310.8116,5122.3937,44.9843
WIAS_WIAS,37382.8997,161814.3825,124.5788
WIAS_ZIB,183959.101,347569.2607,75.7824
ZIB_ADH,4910542.8393,7003249.6254,76.9296
ZIB_CVK,457556.8978,1152539.7574,50.9268
ZIB_HTW,5961616.6257,7482781.0239,74.0052
ZIB_HU,528755.4618,795130.224,146.1446
ZIB_SPK,1001133.1249,3310324.4403,43.689
ZIB_TU,1669703.6924,4404791.0554,54.5819
ZIB_UP,40084.7129,133068.8939,38.8336
ZIB_WIAS,463662.3733,932407.6078,48.8835
ZIB_ZIB,16924614.5906,26715868.4397,101.0013
